日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=380.0000,=380.0000,=380.0000,=380.0000,=1758118324600.0,=1617664575200.0,=960457066100.0,,=0.0207
2026-07-02,=382.3500,=382.3500,=382.3500,=382.3500,=1768990898449.5,=1627668553494.0,=966396734798.25,,=0.0205
2026-07-01,=383.8400,=383.8400,=383.8400,=383.8400,=1775884572932.7998,=1634011501434.0,=970162737504.8,,=0.0205
2026-06-30,=393.0100,=393.0100,=393.0100,=393.0100,=1818310744081.7,=1673048301840.0,=993340083020.95,,=0.0200
2026-06-29,=392.3600,=392.3600,=392.3600,=392.3600,=1815303436421.2,=1670281244014.0,=991697195934.2,,=0.0200
2026-06-26,=381.0000,=381.0000,=381.0000,=381.0000,=1762744951770.0,=1621921587240.0,=962984584695.0,,=0.0206
2026-06-25,=401.9000,=401.9000,=401.9000,=401.9000,=1859441459623.0,=1710893138876.0,=1015809723330.5,,=0.0195
2026-06-24,=395.3600,=395.3600,=395.3600,=395.3600,=1829183317931.2,=1683052280134.0,=999279751719.2,,=0.0199
2026-06-23,=392.5100,=392.5100,=392.5100,=392.5100,=1815997430496.7,=1670919795820.0,=992076323723.45,,=0.0200
2026-06-22,=408.9800,=408.9800,=408.9800,=408.9800,=1892197979986.6,=1741032784119.0,=1033704554983.1,,=0.0192
2026-06-18,=391.5500,=391.5500,=391.5500,=391.5500,=1811555868413.5,=1666833064262.0,=989649905872.25,,=0.0201
2026-06-17,=399.0000,=399.0000,=399.0000,=399.0000,=1846024240830.0,=1698547803960.0,=1008479919405.0,,=0.0197
2026-06-16,=403.5300,=403.5300,=403.5300,=403.5300,=1866982861910.1,=1717832068501.0,=1019929578640.35,,=0.0195
2026-06-15,=398.1000,=398.1000,=398.1000,=398.1000,=1841860276377.0,=1694716493124.0,=1006205152669.5,,=0.0197
2026-06-12,=394.8500,=394.8500,=394.8500,=394.8500,=1826823738074.5,=1680881203994.0,=997990717235.75,,=0.0199
2026-06-11,=382.2000,=382.2000,=382.2000,=382.2000,=1768296904374.0,=1627030001688.0,=966017607009.0,,=0.0206
2026-06-10,=388.5000,=388.5000,=388.5000,=388.5000,=1797444655545.0,=1653849177540.0,=981940974157.5,,=0.0202
2026-06-09,=399.5000,=399.5000,=399.5000,=399.5000,=1848337554415.0,=1700676309980.0,=1009743678702.5,,=0.0197
2026-06-08,=393.0200,=393.0200,=393.0200,=393.0200,=1818357010353.4,=1673090871961.0,=993365358206.9,,=0.0200
2026-06-05,=403.0000,=403.0000,=403.0000,=403.0000,=1864530749510.0,=1715575852120.0,=1018589993785.0,,=0.0195
2026-06-04,=408.2000,=408.2000,=408.2000,=408.2000,=1888589210794.0,=1737712314728.0,=1031733090479.0,,=0.0192
2026-06-03,=426.4200,=426.4200,=426.4200,=426.4200,=1972886357831.4,=1815275074097.0,=1077784479279.9,,=0.0184
2026-06-02,=433.8900,=433.8900,=433.8900,=433.8900,=2007447262791.3,=1847016661348.0,=1096665043184.55,,=0.0181
2026-06-01,=420.1000,=420.1000,=420.1000,=420.1000,=1943646074117.0,=1788314317989.0,=1061810561759.5,,=0.0187
2026-05-29,=424.0000,=424.0000,=424.0000,=424.0000,=1961632956104.0,=1804916140984.0,=1071667884280.0,,=0.0185
2026-05-28,=415.6800,=415.6800,=415.6800,=415.6800,=1923140535833.28,=1769498918595.0,=1050638929569.6,,=0.0189
2026-05-27,=414.8000,=414.8000,=414.8000,=414.8000,=1919069222150.8,=1765752866227.0,=1048414713206.0,,=0.0189
2026-05-26,=402.5000,=402.5000,=402.5000,=402.5000,=1862163360452.5,=1713393270628.0,=1017326234487.5,,=0.0195
2026-05-25,=402.8800,=402.8800,=402.8800,=402.8800,=1863921427724.48,=1715010884150.0,=1018286691553.6,,=0.0195
2026-05-22,=411.1600,=411.1600,=411.1600,=411.1600,=1902228788282.36,=1750257831432.0,=1039214545520.2,,=0.0191
2026-05-21,=411.6300,=411.6300,=411.6300,=411.6300,=1904403239908.23,=1752258563946.0,=1040402479259.85,,=0.0191
2026-05-20,=414.7500,=414.7500,=414.7500,=414.7500,=1918837897509.75,=1765540022342.0,=1048288337276.25,,=0.0189
