日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=18.5200,=18.5200,=18.5200,=18.5200,=396222624459.52,=323374797100.0,=131507589691.52,,=16.4048,,,,
2026-07-02,=18.2900,=18.2900,=18.2900,=18.2900,=391301933119.04,=319358803399.0,=129874396083.04,,=16.2011,,,,
2026-07-01,=17.7300,=17.7300,=17.7300,=17.7300,=379321119420.48,=309580731780.0,=125897924688.48,,=15.7051,,,,
2026-06-30,=17.5500,=17.5500,=17.5500,=17.5500,=375470143588.8,=306437780189.0,=124619773168.8,,=15.5456,,,,
2026-06-29,=18.0000,=18.0000,=18.0000,=18.0000,=385097583168.0,=314295159168.0,=127815151968.0,,=15.9442,,,,
2026-06-26,=17.2400,=17.2400,=17.2400,=17.2400,=368837907434.24,=301024919114.0,=122418512218.24,,=15.2710,,,,
2026-06-25,=18.0700,=18.0700,=18.0700,=18.0700,=386595184880.32,=315517418120.0,=128312210892.32,,=16.0062,,,,
2026-06-24,=18.9800,=18.9800,=18.9800,=18.9800,=406064007140.48,=331406784500.0,=134773976908.48,,=16.8123,,,,
2026-06-23,=19.4900,=19.4900,=19.4900,=19.4900,=416975105330.24,=340311814010.0,=138395406214.24,,=17.2641,,,,
2026-06-22,=21.6500,=21.6500,=21.6500,=21.6500,=463186815310.4,=378027233110.0,=153733224450.4,,=19.1774,,,,
2026-06-18,=20.0400,=20.0400,=20.0400,=20.0400,=428741975927.04,=349915277207.0,=142300869191.04,,=17.7512,,,,
2026-06-17,=20.1700,=20.1700,=20.1700,=20.1700,=431523236249.9201,=352185186690.0,=143223978621.92,,=17.8664,,,,
2026-06-16,=20.0300,=20.0300,=20.0300,=20.0300,=428528032825.28,=349740668785.0,=142229860773.28,,=17.7424,,,,
2026-06-15,=20.9200,=20.9200,=20.9200,=20.9200,=447568968881.9201,=365280818322.0,=148549609953.92,,=18.5307,,,,
2026-06-12,=19.1100,=19.1100,=19.1100,=19.1100,=408845267463.36,=333676693983.0,=135697086339.36,,=16.9275,,,,
2026-06-11,=17.3700,=17.3700,=17.3700,=17.3700,=371619167757.12,=303294828597.0,=123341621649.12,,=15.3862,,,,
2026-06-10,=16.7900,=16.7900,=16.7900,=16.7900,=359210467855.04,=293167540135.0,=119223133419.04,,=14.8724,,,,
2026-06-09,=17.0500,=17.0500,=17.0500,=17.0500,=364772988500.8,=297707359101.0,=121069352280.8,,=15.1027,,,,
2026-06-08,=16.8900,=16.8900,=16.8900,=16.8900,=361349898872.64,=294913624353.0,=119933217596.64,,=14.9610,,,,
2026-06-05,=18.1900,=18.1900,=18.1900,=18.1900,=389162502101.44,=317612719181.0,=129164311905.44,,=16.1125,,,,
2026-06-04,=18.7400,=18.7400,=18.7400,=18.7400,=400929372698.24,=327216182378.0,=133069774882.24,,=16.5997,,,,
2026-06-03,=19.8900,=19.8900,=19.8900,=19.8900,=425532829400.64,=347296150881.0,=141235742924.64,,=17.6184,,,,
2026-06-02,=19.7400,=19.7400,=19.7400,=19.7400,=422323682874.24,=344677024554.0,=140170616658.24,,=17.4855,,,,
2026-06-01,=18.4200,=18.4200,=18.4200,=18.4200,=394083193441.9201,=321628712882.0,=130797505513.92,,=16.3163,,,,
