日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=3.7700,=3.7700,=3.7700,=3.7700,=107775441035.34,=107775441035.0,=53656321974.19,,=3.8881,,,,
2026-07-02,=3.7600,=3.7600,=3.7600,=3.7600,=107489564533.92,=107489564534.0,=53513997512.72,,=3.8778,,,,
2026-07-01,=3.7600,=3.7600,=3.7600,=3.7600,=107489564533.92,=107489564534.0,=53513997512.72,,=3.8778,,,,
2026-06-30,=3.7100,=3.7100,=3.7100,=3.7100,=106060182026.82,=106060182027.0,=52802375205.37,,=3.8262,,,,
2026-06-29,=3.7300,=3.7300,=3.7300,=3.7300,=106631935029.66,=106631935030.0,=53087024128.31,,=3.8469,,,,
2026-06-26,=3.7800,=3.7800,=3.7800,=3.7800,=108061317536.76,=108061317537.0,=53798646435.66,,=3.8984,,,,
2026-06-25,=3.7500,=3.7500,=3.7500,=3.7500,=107203688032.5,=107203688033.0,=53371673051.25,,=3.8675,,,,
2026-06-24,=3.9200,=3.9200,=3.9200,=3.9200,=112063588556.64,=112063588557.0,=55791188896.24,,=4.0428,,,,
2026-06-23,=4.0000,=4.0000,=4.0000,=4.0000,=114350600568.0,=114350600568.0,=56929784588.0,,=4.1253,,,,
2026-06-22,=4.0400,=4.0400,=4.0400,=4.0400,=115494106573.68,=115494106574.0,=57499082433.88,,=4.1666,,,,
2026-06-18,=4.0700,=4.0700,=4.0700,=4.0700,=116351736077.94,=116351736078.0,=57926055818.29,,=4.1975,,,,
2026-06-17,=4.1300,=4.1300,=4.1300,=4.1300,=118066995086.46,=118066995086.0,=58780002587.11,,=4.2594,,,,
2026-06-16,=4.1200,=4.1200,=4.1200,=4.1200,=117781118585.04,=117781118585.0,=58637678125.64,,=4.2491,,,,
2026-06-15,=4.1800,=4.1800,=4.1800,=4.1800,=119496377593.56,=119496377594.0,=59491624894.46,,=4.3110,,,,
2026-06-12,=4.1800,=4.1800,=4.1800,=4.1800,=119496377593.56,=119496377594.0,=59491624894.46,,=4.3110,,,,
2026-06-11,=4.1600,=4.1600,=4.1600,=4.1600,=118924624590.72,=118924624591.0,=59206975971.52,,=4.2903,,,,
2026-06-10,=4.1100,=4.1100,=4.1100,=4.1100,=117495242083.62,=117495242084.0,=58495353664.17,,=4.2388,,,,
2026-06-09,=4.1300,=4.1300,=4.1300,=4.1300,=118066995086.46,=118066995086.0,=58780002587.11,,=4.2594,,,,
2026-06-08,=4.1200,=4.1200,=4.1200,=4.1200,=117781118585.04,=117781118585.0,=58637678125.64,,=4.2491,,,,
2026-06-05,=4.2100,=4.2100,=4.2100,=4.2100,=120354007097.82,=120354007098.0,=59918598278.87,,=4.3419,,,,
