日期,股票代码,股价(元),涨跌幅,PE-TTM,PB,股息率,总市值(元),股东人数,成交金额(元)
2025-04-16T00:00:00+08:00,000333,71,-0.67%,14.1051,2.5078,4.50%,"543,572,867,693",252066,"1,890,971,340"
2025-04-17T00:00:00+08:00,000333,70.95,-0.07%,14.0952,2.5061,4.50%,"543,190,069,899",252066,"1,388,823,325"
2025-04-18T00:00:00+08:00,000333,70.92,-0.04%,14.0892,2.505,4.50%,"542,960,391,222",252066,"1,094,653,676"
2025-04-21T00:00:00+08:00,000333,71.39,0.66%,14.1826,2.5216,4.47%,"546,558,690,487",252066,"1,262,930,782"
2025-04-22T00:00:00+08:00,000333,71.72,0.46%,14.2482,2.5333,4.45%,"549,085,155,929",252066,"1,626,765,493"
2025-04-23T00:00:00+08:00,000333,71.85,0.18%,14.274,2.5379,4.44%,"550,080,430,194",252066,"1,627,423,197"
2025-04-24T00:00:00+08:00,000333,72.95,1.53%,14.4925,2.5767,4.38%,"558,501,981,665",252066,"1,684,714,693"
2025-04-25T00:00:00+08:00,000333,72.75,-0.27%,14.4528,2.5696,4.39%,"556,970,790,488",252066,"1,244,078,508"
2025-04-28T00:00:00+08:00,000333,73.23,0.66%,14.5482,2.5866,4.36%,"560,645,649,312",252066,"1,755,320,152"
2025-04-29T00:00:00+08:00,000333,74.2,1.32%,14.7409,2.6209,4.30%,"568,071,926,519",252066,"1,733,740,168"
2025-04-30T00:00:00+08:00,000333,73.62,-0.78%,13.4328,2.4524,4.34%,"563,631,472,106",252066,"3,548,715,615"
2025-05-06T00:00:00+08:00,000333,74.05,0.58%,13.5112,2.4668,4.31%,"566,923,533,136",252066,"2,556,249,632"
2025-05-07T00:00:00+08:00,000333,74.36,0.42%,13.5678,2.4771,4.29%,"569,296,879,460",252066,"2,239,595,605"
2025-05-08T00:00:00+08:00,000333,75,0.86%,13.6846,2.4984,4.26%,"574,196,691,225",252066,"2,081,094,569"
2025-05-09T00:00:00+08:00,000333,75.8,1.07%,13.8305,2.5251,4.21%,"580,321,455,931",252066,"1,861,536,387"
2025-05-12T00:00:00+08:00,000333,76.58,1.03%,13.9728,2.551,4.17%,"586,293,101,520",252066,"2,078,979,154"
2025-05-13T00:00:00+08:00,000333,77.11,0.69%,14.0695,2.5687,4.14%,"590,350,758,138",252066,"1,963,341,233"
2025-05-14T00:00:00+08:00,000333,77.09,-0.03%,14.0659,2.568,4.14%,"590,197,639,020",252066,"2,248,759,306"
2025-05-15T00:00:00+08:00,000333,76.5,-0.77%,13.9582,2.5484,4.17%,"585,680,625,049",252066,"1,571,335,906"
2025-05-16T00:00:00+08:00,000333,76.6,0.13%,13.9765,2.5517,4.17%,"586,446,220,638",252066,"1,819,974,356"
2025-05-19T00:00:00+08:00,000333,77.58,1.28%,14.1553,2.5844,4.12%,"593,949,057,403",252066,"2,031,022,754"
2025-05-20T00:00:00+08:00,000333,78.67,1.41%,14.3542,2.6207,4.06%,"602,294,049,316",252066,"2,184,604,655"
2025-05-21T00:00:00+08:00,000333,78.8,0.17%,14.3779,2.625,4.05%,"603,289,323,580",252066,"1,619,842,976"
2025-05-22T00:00:00+08:00,000333,79.36,0.71%,14.4801,2.6437,4.02%,"607,576,658,875",252066,"1,850,376,659"
2025-05-23T00:00:00+08:00,000333,78.89,-0.59%,14.3943,2.628,4.05%,"603,978,359,610",252066,"2,385,953,118"
2025-05-26T00:00:00+08:00,000333,78.27,-0.79%,14.2812,2.6073,4.08%,"599,231,666,962",252066,"1,893,696,279"
2025-05-27T00:00:00+08:00,000333,78.48,0.27%,14.3195,2.6143,4.07%,"600,839,417,698",252066,"1,620,472,097"
