日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=3.7700,=3.7700,=3.7700,=3.7700,=107775441035.34,=107775441035.0,=53656321974.19,,=0.0109
2026-07-02,=3.7600,=3.7600,=3.7600,=3.7600,=107489564533.92,=107489564534.0,=53513997512.72,,=0.0109
2026-07-01,=3.7600,=3.7600,=3.7600,=3.7600,=107489564533.92,=107489564534.0,=53513997512.72,,=0.0109
2026-06-30,=3.7100,=3.7100,=3.7100,=3.7100,=106060182026.82,=106060182027.0,=52802375205.37,,=0.0111
2026-06-29,=3.7300,=3.7300,=3.7300,=3.7300,=106631935029.66,=106631935030.0,=53087024128.31,,=0.0110
2026-06-26,=3.7800,=3.7800,=3.7800,=3.7800,=108061317536.76,=108061317537.0,=53798646435.66,,=0.0108
2026-06-25,=3.7500,=3.7500,=3.7500,=3.7500,=107203688032.5,=107203688033.0,=53371673051.25,,=0.0109
2026-06-24,=3.9200,=3.9200,=3.9200,=3.9200,=112063588556.64,=112063588557.0,=55791188896.24,,=0.0105
2026-06-23,=4.0000,=4.0000,=4.0000,=4.0000,=114350600568.0,=114350600568.0,=56929784588.0,,=0.0103
2026-06-22,=4.0400,=4.0400,=4.0400,=4.0400,=115494106573.68,=115494106574.0,=57499082433.88,,=0.0101
2026-06-18,=4.0700,=4.0700,=4.0700,=4.0700,=116351736077.94,=116351736078.0,=57926055818.29,,=0.0101
2026-06-17,=4.1300,=4.1300,=4.1300,=4.1300,=118066995086.46,=118066995086.0,=58780002587.11,,=0.0099
2026-06-16,=4.1200,=4.1200,=4.1200,=4.1200,=117781118585.04,=117781118585.0,=58637678125.64,,=0.0100
2026-06-15,=4.1800,=4.1800,=4.1800,=4.1800,=119496377593.56,=119496377594.0,=59491624894.46,,=0.0098
2026-06-12,=4.1800,=4.1800,=4.1800,=4.1800,=119496377593.56,=119496377594.0,=59491624894.46,,=0.0098
2026-06-11,=4.1600,=4.1600,=4.1600,=4.1600,=118924624590.72,=118924624591.0,=59206975971.52,,=0.0099
2026-06-10,=4.1100,=4.1100,=4.1100,=4.1100,=117495242083.62,=117495242084.0,=58495353664.17,,=0.0100
2026-06-09,=4.1300,=4.1300,=4.1300,=4.1300,=118066995086.46,=118066995086.0,=58780002587.11,,=0.0099
2026-06-08,=4.1200,=4.1200,=4.1200,=4.1200,=117781118585.04,=117781118585.0,=58637678125.64,,=0.0100
2026-06-05,=4.2100,=4.2100,=4.2100,=4.2100,=120354007097.82,=120354007098.0,=59918598278.87,,=0.0097
2026-06-04,=4.3000,=4.3000,=4.3000,=4.3000,=122926895610.6,=122926895611.0,=61199518432.1,,=0.0095
2026-06-03,=4.2900,=4.2900,=4.2900,=4.2900,=122641019109.18,=122641019109.0,=61057193970.63,,=0.0096
2026-06-02,=4.3200,=4.3200,=4.3200,=4.3200,=123498648613.44,=123498648613.0,=61484167355.04,,=0.0095
2026-06-01,=4.3800,=4.3800,=4.3800,=4.3800,=125213907621.96,=125213907622.0,=62338114123.86,,=0.0094
2026-05-29,=4.1700,=4.1700,=4.1700,=4.1700,=119210501092.14,=119210501092.0,=59349300432.99,,=0.0098
2026-05-28,=4.1500,=4.1500,=4.1500,=4.1500,=118638748089.3,=118638748089.0,=59064651510.05,,=0.0099
2026-05-27,=4.0800,=4.0800,=4.0800,=4.0800,=116637612579.36,=116637612579.0,=58068380279.76,,=0.0100
2026-05-26,=4.1100,=4.1100,=4.1100,=4.1100,=117495242083.62,=117495242084.0,=58495353664.17,,=0.0100
2026-05-25,=4.1200,=4.1200,=4.1200,=4.1200,=117781118585.04,=117781118585.0,=58637678125.64,,=0.0100
2026-05-22,=4.1100,=4.1100,=4.1100,=4.1100,=117495242083.62,=117495242084.0,=58495353664.17,,=0.0100
2026-05-21,=4.0900,=4.0900,=4.0900,=4.0900,=116923489080.78,=116923489081.0,=58210704741.23,,=0.0100
2026-05-20,=4.1200,=4.1200,=4.1200,=4.1200,=117781118585.04,=117781118585.0,=58637678125.64,,=0.0100
2026-05-19,=4.2000,=4.2000,=4.2000,=4.2000,=120068130596.4,=120068130596.0,=59776273817.4,,=0.0098
2026-05-18,=4.1400,=4.1400,=4.1400,=4.1400,=118352871587.88,=118352871588.0,=58922327048.58,,=0.0099
2026-05-15,=4.1100,=4.1100,=4.1100,=4.1100,=117495242083.62,=117495242084.0,=58495353664.17,,=0.0100
2026-05-14,=4.1600,=4.1600,=4.1600,=4.1600,=118924624590.72,=118924624591.0,=59206975971.52,,=0.0099
2026-05-13,=4.2600,=4.2600,=4.2600,=4.2600,=121783389604.92,=121783389605.0,=60630220586.22,,=0.0096
2026-05-12,=4.2000,=4.2000,=4.2000,=4.2000,=120068130596.4,=120068130596.0,=59776273817.4,,=0.0098
2026-05-11,=4.1700,=4.1700,=4.1700,=4.1700,=119210501092.14,=119210501092.0,=59349300432.99,,=0.0098
2026-05-08,=4.1600,=4.1600,=4.1600,=4.1600,=118924624590.72,=118924624591.0,=59206975971.52,,=0.0099
2026-05-07,=4.1300,=4.1300,=4.1300,=4.1300,=118066995086.46,=118066995086.0,=58780002587.11,,=0.0099
2026-05-06,=4.1100,=4.1100,=4.1100,=4.1100,=117495242083.62,=117495242084.0,=58495353664.17,,=0.0100
2026-04-30,=4.0900,=4.0900,=4.0900,=4.0900,=116923489080.78,=116923489081.0,=58210704741.23,,=0.0100
2026-04-29,=4.1000,=4.1000,=4.1000,=4.1000,=117209365582.2,=117209365582.0,=58816864662.7,,=0.0163
2026-04-28,=4.1000,=4.1000,=4.1000,=4.1000,=117209365582.2,=117209365582.0,=58816864662.7,,=0.0163
2026-04-27,=4.1000,=4.1000,=4.1000,=4.1000,=117209365582.2,=117209365582.0,=58816864662.7,,=0.0163
