日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=8.6900,=8.6900,=8.6900,=8.6900,=289427734827.0,=289427734827.0,=135762467520.9,,=0.3839,,,,
2026-07-02,=8.7000,=8.7000,=8.7000,=8.7000,=289760793210.0,=289760793210.0,=135918695907.0,,=0.3844,,,,
2026-07-01,=8.6500,=8.6500,=8.6500,=8.6500,=288095501295.0,=288095501295.0,=135137553976.5,,=0.3822,,,,
2026-06-30,=8.6100,=8.6100,=8.6100,=8.6100,=286763267763.0,=286763267763.0,=134512640432.1,,=0.3804,,,,
2026-06-29,=8.7300,=8.7300,=8.7300,=8.7300,=290759968359.0,=290759968359.0,=136387381065.3,,=0.3857,,,,
2026-06-26,=8.7600,=8.7600,=8.7600,=8.7600,=291759143508.0,=291759143508.0,=136856066223.6,,=0.3870,,,,
2026-06-25,=8.8500,=8.8500,=8.8500,=8.8500,=294756668955.0,=294756668955.0,=138262121698.5,,=0.3910,,,,
2026-06-24,=8.9000,=8.9000,=8.9000,=8.9000,=296421960870.0,=296421960870.0,=139043263629.0,,=0.3932,,,,
2026-06-23,=9.2800,=9.2800,=9.2800,=9.2800,=309078179424.0,=309078179424.0,=144979942300.8,,=0.4100,,,,
2026-06-22,=9.1600,=9.1600,=9.1600,=9.1600,=305081478828.0,=305081478828.0,=143105201667.6,,=0.4047,,,,
2026-06-18,=9.0900,=9.0900,=9.0900,=9.0900,=302750070147.0,=302750070147.0,=142011602964.9,,=0.4016,,,,
2026-06-17,=9.2400,=9.2400,=9.2400,=9.2400,=307745945892.0,=307745945892.0,=144355028756.4,,=0.4082,,,,
2026-06-16,=9.4600,=9.4600,=9.4600,=9.4600,=315073230318.0,=315073230318.0,=147792053250.6,,=0.4180,,,,
2026-06-15,=9.5300,=9.5300,=9.5300,=9.5300,=317404638999.0,=317404638999.0,=148885651953.3,,=0.4210,,,,
2026-06-12,=9.6700,=9.6700,=9.6700,=9.6700,=322067456361.0,=322067456361.0,=151072849358.7,,=0.4272,,,,
2026-06-11,=9.5500,=9.5500,=9.5500,=9.5500,=318070755765.0,=318070755765.0,=149198108725.5,,=0.4219,,,,
2026-06-10,=9.5900,=9.5900,=9.5900,=9.5900,=319402989297.0,=319402989297.0,=149823022269.9,,=0.4237,,,,
