日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=72.1500,=72.1500,=72.1500,=72.1500,=195353624559.6,=173904207048.0,=140267713339.65,,=41.2084,,,,
2026-07-02,=68.4000,=68.4000,=68.4000,=68.4000,=185200109769.6,=164865526848.0,=132977291648.4,,=39.0666,,,,
2026-07-01,=68.2000,=68.2000,=68.2000,=68.2000,=184658588980.8,=164383463904.0,=132588469158.2,,=38.9523,,,,
2026-06-30,=66.3300,=66.3300,=66.3300,=66.3300,=179595369605.52,=159876175378.0,=128952978874.83,,=37.8843,,,,
2026-06-29,=65.2300,=65.2300,=65.2300,=65.2300,=176617005267.12,=157224829186.0,=126814455178.73,,=37.2560,,,,
2026-06-26,=63.2800,=63.2800,=63.2800,=63.2800,=171337177576.32,=152524715482.0,=123023435899.28,,=36.1423,,,,
2026-06-25,=66.8400,=66.8400,=66.8400,=66.8400,=180976247616.96,=161105435885.0,=129944476224.84,,=38.1756,,,,
2026-06-24,=66.3100,=66.3100,=66.3100,=66.3100,=179541217526.64,=159827969083.0,=128914096625.81,,=37.8729,,,,
2026-06-23,=66.8200,=66.8200,=66.8200,=66.8200,=180922095538.08,=161057229590.0,=129905593975.82,,=38.1642,,,,
2026-06-22,=68.9500,=68.9500,=68.9500,=68.9500,=186689291938.8,=166191199944.0,=134046553496.45,,=39.3807,,,,
2026-06-18,=71.1800,=71.1800,=71.1800,=71.1800,=192727248733.92,=171566201770.0,=138381924262.18,,=40.6544,,,,
2026-06-17,=69.7500,=69.7500,=69.7500,=69.7500,=188855375094.0,=168119451720.0,=135601843457.25,,=39.8376,,,,
2026-06-16,=70.2400,=70.2400,=70.2400,=70.2400,=190182101026.56,=169300505933.0,=136554458558.24,,=40.1175,,,,
2026-06-15,=69.3000,=69.3000,=69.3000,=69.3000,=187636953319.2,=167034810096.0,=134726992854.3,,=39.5806,,,,
2026-06-12,=67.1600,=67.1600,=67.1600,=67.1600,=181842680879.04,=161876736595.0,=130566592209.16,,=38.3584,,,,
2026-06-11,=69.2100,=69.2100,=69.2100,=69.2100,=187393268964.24,=166817881771.0,=134552022733.71,,=39.5292,,,,
2026-06-10,=70.1000,=70.1000,=70.1000,=70.1000,=189803036474.4,=168963061872.0,=136282282815.1,,=40.0375,,,,
2026-06-09,=74.6000,=74.6000,=74.6000,=74.6000,=201987254222.4,=179809478112.0,=145030788844.6,,=42.6077,,,,
2026-06-08,=74.5200,=74.5200,=74.5200,=74.5200,=201770645906.88,=179616652934.0,=144875259848.52,,=42.5620,,,,
2026-06-05,=75.0800,=75.0800,=75.0800,=75.0800,=203286904115.52,=180966429178.0,=145963962821.08,,=42.8818,,,,
