date,资本回报率(ROIC),净资产收益率(ROE),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.5035,0.5393,0.3174,0.4427,0.3676
2025-12-31,0.4135,0.4461,0.3028,0.4204,0.3123
2025-09-30,0.3608,0.3884,0.2874,0.3957,0.2713
2025-06-30,0.3184,0.3483,0.2588,0.37,0.2435
2025-03-31,0.285,0.3124,0.2349,0.3475,0.2238
2024-12-31,0.28,0.3064,0.2251,0.338,0.2198
2024-09-30,0.2663,0.2912,0.227,0.3368,0.2069
2024-06-30,0.2402,0.2605,0.2265,0.3367,0.1907
2024-03-31,0.1874,0.2052,0.2179,0.3337,0.152
2023-12-31,0.1508,0.1645,0.206,0.3299,0.1208
2023-09-30,0.1192,0.1304,0.1728,0.3203,0.095
2023-06-30,0.1017,0.1107,0.1478,0.3091,0.082
2023-03-31,0.0925,0.1038,0.1345,0.3003,0.0755
2022-12-31,0.0915,0.1042,0.128,0.2931,0.0745
2022-09-30,0.0948,0.1137,0.1268,0.2796,0.0754
2022-06-30,0.0861,0.1025,0.1195,0.2662,0.067
2022-03-31,0.0845,0.0967,0.1163,0.2583,0.0654
2021-12-31,0.077,0.0905,0.1152,0.2557,0.0587
2021-09-30,0.082,0.1025,0.1169,0.2505,0.0607
2021-06-30,0.0861,0.1092,0.1205,0.2501,0.0644
2021-03-31,0.0948,0.1124,0.1192,0.2545,0.071
2020-12-31,0.0973,0.1175,0.1243,0.2543,0.0727
2020-09-30,0.0888,0.1054,0.1138,0.2484,0.066
2020-06-30,0.082,0.0973,0.1127,0.2567,0.0604
2020-03-31,0.0711,0.0841,0.109,0.2639,0.0554
2019-12-31,0.0753,0.0878,0.1079,0.2711,0.0553
2019-09-30,0.0801,0.0886,0.1179,0.293,0.0562
2019-06-30,,0.095,0.1176,0.2922,0.0576
2019-03-31,,0.1086,0.1241,0.2833,0.0673
2018-12-31,0.1159,0.1419,0.1208,0.2727,0.0784
2018-09-30,,0.1179,0.0953,0.2609,0.0668
2018-06-30,,0.1934,0.0928,0.2577,0.1085
2018-03-31,,0.1327,0.0838,0.2584,0.0762
2017-12-31,,0.0708,0.0685,0.2679,0.0383
2017-09-30,,0.0554,0.1112,0.2763,0.0326
2017-06-30,,0.0157,0.0598,0.3323,0.0139
2017-03-31,,0.0223,0.0896,0.3049,0.0195
2016-12-31,,0.0182,0.0764,0.3056,0.0158
2016-09-30,,0.0277,0.1118,0.2767,0.0244
2016-06-30,,0.0293,0.1187,0.2714,0.025
