日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=4.9400,=4.9400,=4.9400,=4.9400,=593269564250.48,=358287334989.0,=50966034957.5,,=6.7506,,,,
2026-07-02,=4.9600,=4.9600,=4.9600,=4.9600,=595671465320.32,=359737891001.0,=51172375180.0,,=6.7779,,,,
2026-07-01,=4.9300,=4.9300,=4.9300,=4.9300,=592068613715.5599,=357562056983.0,=50862864846.25,,=6.7369,,,,
2026-06-30,=4.9300,=4.9300,=4.9300,=4.9300,=592068613715.5599,=357562056983.0,=50862864846.25,,=6.7369,,,,
2026-06-29,=4.9700,=4.9700,=4.9700,=4.9700,=596872415855.2399,=360463169007.0,=51275545291.25,,=6.7916,,,,
2026-06-26,=4.9200,=4.9200,=4.9200,=4.9200,=590867663180.6399,=356836778977.0,=50759694735.0,,=6.7233,,,,
2026-06-25,=4.9000,=4.9000,=4.9000,=4.9000,=588465762110.7999,=355386222965.0,=50553354512.5,,=6.6959,,,,
2026-06-24,=4.9200,=4.9200,=4.9200,=4.9200,=590867663180.6399,=356836778977.0,=50759694735.0,,=6.7233,,,,
2026-06-23,=5.0600,=5.0600,=5.0600,=5.0600,=607680970669.5199,=366990671061.0,=52204076292.5,,=6.9146,,,,
2026-06-22,=4.9200,=4.9200,=4.9200,=4.9200,=590867663180.6399,=356836778977.0,=50759694735.0,,=6.7233,,,,
2026-06-18,=4.8600,=4.8600,=4.8600,=4.8600,=583661959971.12,=352485110940.0,=50140674067.5,,=6.6413,,,,
2026-06-17,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=361188447013.0,=51378715402.5,,=6.8053,,,,
2026-06-16,=5.0400,=5.0400,=5.0400,=5.0400,=605279069599.6799,=365540115049.0,=51997736070.0,,=6.8872,,,,
2026-06-15,=5.1100,=5.1100,=5.1100,=5.1100,=613685723344.12,=370617061092.0,=52719926848.75,,=6.9829,,,,
2026-06-12,=5.2000,=5.2000,=5.2000,=5.2000,=624494278158.3999,=377144563146.0,=53648457850.0,,=7.1059,,,,
2026-06-11,=5.1000,=5.1000,=5.1000,=5.1000,=612484772809.1998,=369891783086.0,=52616756737.5,,=6.9692,,,,
2026-06-10,=5.0800,=5.0800,=5.0800,=5.0800,=610082871739.36,=368441227073.0,=52410416515.0,,=6.9419,,,,
2026-06-09,=4.9900,=4.9900,=4.9900,=4.9900,=599274316925.08,=361913725019.0,=51481885513.75,,=6.8189,,,,
2026-06-08,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=361188447013.0,=51378715402.5,,=6.8053,,,,
2026-06-05,=4.9600,=4.9600,=4.9600,=4.9600,=595671465320.32,=359737891001.0,=51172375180.0,,=6.7779,,,,
