date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,496883763135.57,1.0801,,,,,0.9541,,,,,0.0501,15.6891,,,,,1.1580,,,,,17.0721,,,,
2026-07-02,495968691748.58,1.0781,,,,,0.9523,,,,,0.0502,15.6602,,,,,1.1558,,,,,17.0407,,,,
2026-07-01,482242620943.73,1.0483,,,,,0.9259,,,,,0.0516,15.2268,,,,,1.1238,,,,,16.5691,,,,
2026-06-30,474922049847.8101,1.0324,,,,,0.9119,,,,,0.0524,14.9957,,,,,1.1068,,,,,16.3176,,,,
2026-06-29,484072763717.71,1.0523,,,,,0.9295,,,,,0.0514,15.2846,,,,,1.1281,,,,,16.6320,,,,
2026-06-26,486817977878.68,1.0583,,,,,0.9347,,,,,0.0511,15.3713,,,,,1.1345,,,,,16.7263,,,,
2026-06-25,490478263426.64,1.0662,,,,,0.9418,,,,,0.0507,15.4869,,,,,1.1430,,,,,16.8521,,,,
2026-06-24,493223477587.61,1.0722,,,,,0.9470,,,,,0.0505,15.5735,,,,,1.1494,,,,,16.9464,,,,
2026-06-23,508779691166.4399,1.1060,,,,,0.9769,,,,,0.0489,16.0647,,,,,1.1857,,,,,17.4809,,,,
2026-06-22,519760547810.32,1.1299,,,,,0.9980,,,,,0.0479,16.4114,,,,,1.2113,,,,,17.8582,,,,
2026-06-18,519760547810.32,1.1299,,,,,0.9980,,,,,0.0479,16.4114,,,,,1.2113,,,,,17.8582,,,,
2026-06-17,529826333067.21,1.1517,,,,,1.0173,,,,,0.0470,16.7293,,,,,1.2347,,,,,18.2040,,,,
2026-06-16,545382546646.04,1.1856,,,,,1.0472,,,,,0.0456,17.2205,,,,,1.2710,,,,,18.7385,,,,
2026-06-15,553618189128.95,1.2035,,,,,1.0630,,,,,0.0450,17.4805,,,,,1.2902,,,,,19.0215,,,,
2026-06-12,553618189128.95,1.2035,,,,,1.0630,,,,,0.0450,17.4805,,,,,1.2902,,,,,19.0215,,,,
2026-06-11,571004545481.76,1.2413,,,,,1.0964,,,,,0.0436,18.0295,,,,,1.3307,,,,,19.6188,,,,
2026-06-10,574664831029.72,1.2492,,,,,1.1034,,,,,0.0433,18.1451,,,,,1.3392,,,,,19.7446,,,,
2026-06-09,566429188546.81,1.2095,,,,,1.0876,,,,,0.0439,17.8850,,,,,1.2949,,,,,19.4616,,,,
2026-06-08,568259331320.79,1.2134,,,,,1.0911,,,,,0.0438,17.9428,,,,,1.2991,,,,,19.5245,,,,
