日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=140.3100,=140.3100,=140.3100,=140.3100,=1201166689158.45,=280558621250.0,=280558621250.19,,=17.4997,,,,
2026-07-02,=144.1000,=144.1000,=144.1000,=144.1000,=1233612143879.5,=288136963311.0,=288136963310.9,,=17.9724,,,,
2026-07-01,=154.4800,=154.4800,=154.4800,=154.4800,=1322473310107.6,=308892422570.0,=308892422569.52,,=19.2670,,,,
2026-06-30,=158.8200,=158.8200,=158.8200,=158.8200,=1359627208125.9,=317570524032.0,=317570524032.18,,=19.8083,,,,
2026-06-29,=151.0000,=151.0000,=151.0000,=151.0000,=1292671548230.0,=301933944899.0,=301933944899.0,,=18.8328,,,,
2026-06-26,=148.7600,=148.7600,=148.7600,=148.7600,=1273486451842.0,=297454924789.0,=297454924789.24,,=18.5533,,,,
2026-06-25,=156.8600,=156.8600,=156.8600,=156.8600,=1342827943237.0,=313651381436.0,=313651381436.14,,=19.5635,,,,
2026-06-24,=151.5300,=151.5300,=151.5300,=151.5300,=1297199529763.5,=302993713050.0,=302993713049.9701,,=18.8988,,,,
2026-06-23,=141.7000,=141.7000,=141.7000,=141.7000,=1213048065515.0,=283338013193.0,=283338013193.3,,=17.6728,,,,
2026-06-22,=145.5900,=145.5900,=145.5900,=145.5900,=1166684719142.4302,=291116311509.0,=291116311508.9101,,=16.9973,,,,
2026-06-18,=140.7000,=140.7000,=140.7000,=140.7000,=1127498729193.9,=281338450644.0,=281338450644.3,,=16.4264,,,,
2026-06-17,=134.7000,=134.7000,=134.7000,=134.7000,=1079417759931.9,=269341075350.0,=269341075350.3,,=15.7259,,,,
2026-06-16,=130.1400,=130.1400,=130.1400,=130.1400,=1042876223292.78,=260223070127.0,=260223070126.86,,=15.1936,,,,
2026-06-15,=130.5200,=130.5200,=130.5200,=130.5200,=1045921351346.0402,=260982903895.0,=260982903895.48,,=15.2379,,,,
2026-06-12,=124.8800,=124.8800,=124.8800,=124.8800,=1000725240239.76,=249705371119.0,=249705371119.12,,=14.5795,,,,
2026-06-11,=127.4000,=127.4000,=127.4000,=127.4000,=1020919247329.8002,=254744268743.0,=254744268742.6,,=14.8737,,,,
2026-06-10,=125.3400,=125.3400,=125.3400,=125.3400,=1004411447883.1802,=250625169892.0,=250625169891.66,,=14.6332,,,,
2026-06-09,=127.3000,=127.3000,=127.3000,=127.3000,=1020117897842.1,=254544312488.0,=254544312487.7,,=14.8620,,,,
2026-06-08,=121.9200,=121.9200,=121.9200,=121.9200,=977005295403.84,=243786665974.0,=243786665974.08,,=14.2339,,,,
2026-06-05,=127.4000,=127.4000,=127.4000,=127.4000,=1020919247329.8002,=254744268743.0,=254744268742.6,,=14.8737,,,,
