日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=40.7000,=40.7000,=40.7000,=40.7000,=882759976172.8,=671185244769.0,=109007980491.3,,=0.0468
2026-07-02,=40.7700,=40.7700,=40.7700,=40.7700,=884278236574.0801,=672339617425.0,=109195463504.43,,=0.0467
2026-07-01,=39.4800,=39.4800,=39.4800,=39.4800,=856298866321.9199,=651066178463.0,=105740419405.32,,=0.0483
2026-06-30,=39.0400,=39.0400,=39.0400,=39.0400,=846755515228.16,=643810121763.0,=104561954751.36,,=0.0488
2026-06-29,=39.9800,=39.9800,=39.9800,=39.9800,=867143583473.9199,=659311697441.0,=107079583784.82,,=0.0477
2026-06-26,=39.5700,=39.5700,=39.5700,=39.5700,=858250915409.28,=652550371879.0,=105981468993.63,,=0.0482
2026-06-25,=39.4000,=39.4000,=39.4000,=39.4000,=854563711577.6,=649746895427.0,=105526153104.6,,=0.0484
2026-06-24,=40.0500,=40.0500,=40.0500,=40.0500,=868661843875.2,=660466070098.0,=107267066797.95,,=0.0476
2026-06-23,=40.6600,=40.6600,=40.6600,=40.6600,=881892398800.6399,=670525603250.0,=108900847340.94,,=0.0469
2026-06-22,=41.5100,=41.5100,=41.5100,=41.5100,=900328417959.0399,=684542985512.0,=111177426786.09,,=0.0459
2026-06-18,=41.2600,=41.2600,=41.2600,=41.2600,=894906059383.0399,=680420226023.0,=110507844596.34,,=0.0462
2026-06-17,=41.8600,=41.8600,=41.8600,=41.8600,=907919719965.44,=690314848796.0,=112114841851.74,,=0.0455
2026-06-16,=42.5200,=42.5200,=42.5200,=42.5200,=922234746606.08,=701198933847.0,=113882538832.68,,=0.0448
2026-06-15,=43.3900,=43.3900,=43.3900,=43.3900,=941104554450.56,=715546136867.0,=116212684853.01,,=0.0439
2026-06-12,=46.1400,=46.1400,=46.1400,=46.1400,=1000750498786.56,=760896491244.0,=123578088940.26,,=0.0413
2026-06-11,=47.2900,=47.2900,=47.2900,=47.2900,=1025693348236.16,=779861184892.0,=126658167013.11,,=0.0403
2026-06-10,=47.5100,=47.5100,=47.5100,=47.5100,=1030465023783.04,=783489213242.0,=127247399340.09,,=0.0401
2026-06-09,=48.9800,=48.9800,=48.9800,=48.9800,=1062348492209.92,=807731039036.0,=131184542615.82,,=0.0389
2026-06-08,=50.7600,=50.7600,=50.7600,=50.7600,=1100955685271.04,=837085086596.0,=135951967806.84,,=0.0375
2026-06-05,=48.5200,=48.5200,=48.5200,=48.5200,=1052371352430.08,=800145161577.0,=129952511386.68,,=0.0393
