日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=5.9000,=5.9000,=5.9000,=5.9000,=2064899899850.7,=1883540843584.0,=187143560775.1,,=0.0423
2026-07-02,=5.9800,=5.9800,=5.9800,=5.9800,=2092898542560.54,=1909080380446.0,=189681100582.22,,=0.0417
2026-07-01,=6.0500,=6.0500,=6.0500,=6.0500,=2117397354931.65,=1931427475201.0,=191901447913.45,,=0.0412
2026-06-30,=6.0700,=6.0700,=6.0700,=6.0700,=2124397015609.11,=1937812359416.0,=192535832865.23,,=0.0411
2026-06-29,=6.2400,=6.2400,=6.2400,=6.2400,=2183894131367.52,=1992083875248.0,=197928104955.36,,=0.0400
2026-06-26,=6.1900,=6.1900,=6.1900,=6.1900,=2166394979673.87,=1976121664710.0,=196342142575.91,,=0.0403
2026-06-25,=6.2500,=6.2500,=6.2500,=6.2500,=2187393961706.25,=1995276317356.0,=198245297431.25,,=0.0399
2026-06-24,=6.3400,=6.3400,=6.3400,=6.3400,=2218892434754.82,=2024008296326.0,=201100029714.26,,=0.0394
2026-06-23,=6.5700,=6.5700,=6.5700,=6.5700,=2299388532545.61,=2097434464805.0,=208395456659.73,,=0.0380
2026-06-22,=6.4000,=6.4000,=6.4000,=6.4000,=2239891416787.2,=2043162948973.0,=203003184569.6,,=0.0390
2026-06-18,=6.3700,=6.3700,=6.3700,=6.3700,=2229391925771.0103,=2033585622649.0,=202051607141.93,,=0.0392
2026-06-17,=6.5300,=6.5300,=6.5300,=6.5300,=2285389211190.69,=2084664696374.0,=207126686756.17,,=0.0382
2026-06-16,=6.6100,=6.6100,=6.6100,=6.6100,=2313387853900.5303,=2110204233236.0,=209664226563.29,,=0.0377
2026-06-15,=6.6800,=6.6800,=6.6800,=6.6800,=2337886666271.64,=2132551327990.0,=211884573894.52,,=0.0374
2026-06-12,=6.8000,=6.8000,=6.8000,=6.8000,=2379884630336.4,=2170860633284.0,=215690883605.2,,=0.0367
2026-06-11,=6.6800,=6.6800,=6.6800,=6.6800,=2337886666271.64,=2132551327990.0,=211884573894.52,,=0.0374
2026-06-10,=6.7100,=6.7100,=6.7100,=6.7100,=2348386157287.83,=2142128654314.0,=212836151322.19,,=0.0372
2026-06-09,=6.6000,=6.6000,=6.6000,=6.6000,=2309888023561.8,=2107011791128.0,=209347034087.4,,=0.0378
2026-06-08,=6.5700,=6.5700,=6.5700,=6.5700,=2299388532545.61,=2097434464805.0,=208395456659.73,,=0.0380
2026-06-05,=6.3600,=6.3600,=6.3600,=6.3600,=2225892095432.2803,=2030393180542.0,=201734414666.04,,=0.0392
2026-06-04,=6.3000,=6.3000,=6.3000,=6.3000,=2204893113399.9,=2011238527895.0,=199831259810.7,,=0.0396
2026-06-03,=6.3600,=6.3600,=6.3600,=6.3600,=2225892095432.2803,=2030393180542.0,=201734414666.04,,=0.0392
2026-06-02,=6.4500,=6.4500,=6.4500,=6.4500,=2257390568480.85,=2059125159512.0,=204589146949.05,,=0.0387
2026-06-01,=6.4900,=6.4900,=6.4900,=6.4900,=2271389889835.77,=2071894927943.0,=205857916852.61,,=0.0384
2026-05-29,=6.3200,=6.3200,=6.3200,=6.3200,=2211892774077.36,=2017623412111.0,=200465644762.48,,=0.0395
2026-05-28,=6.2100,=6.2100,=6.2100,=6.2100,=2173394640351.33,=1982506548925.0,=196976527527.69,,=0.0402
2026-05-27,=6.3100,=6.3100,=6.3100,=6.3100,=2208392943738.63,=2014430970003.0,=200148452286.59,,=0.0395
2026-05-26,=6.4200,=6.4200,=6.4200,=6.4200,=2246891077464.66,=2049547833188.0,=203637569521.38,,=0.0389
2026-05-25,=6.4400,=6.4400,=6.4400,=6.4400,=2253890738142.12,=2055932717404.0,=204271954473.16,,=0.0387
2026-05-22,=6.4600,=6.4600,=6.4600,=6.4600,=2260890398819.58,=2062317601619.0,=204906339424.94,,=0.0386
2026-05-21,=6.5100,=6.5100,=6.5100,=6.5100,=2278389550513.23,=2078279812158.0,=206492301804.39,,=0.0383
2026-05-20,=6.4600,=6.4600,=6.4600,=6.4600,=2260890398819.58,=2062317601619.0,=204906339424.94,,=0.0386
2026-05-19,=6.6200,=6.6200,=6.6200,=6.6200,=2316887684239.2603,=2113396675344.0,=209981419039.18,,=0.0377
2026-05-18,=6.6000,=6.6000,=6.6000,=6.6000,=2309888023561.8,=2107011791128.0,=209347034087.4,,=0.0378
2026-05-15,=6.6700,=6.6700,=6.6700,=6.6700,=2334386835932.91,=2129358885883.0,=211567381418.63,,=0.0374
2026-05-14,=6.7600,=6.7600,=6.7600,=6.7600,=2365885308981.48,=2158090864853.0,=214422113701.64,,=0.0369
2026-05-13,=6.6600,=6.6600,=6.6600,=6.6600,=2330887005594.18,=2126166443775.0,=211250188942.74,,=0.0375
2026-05-12,=6.7800,=6.7800,=6.7800,=6.7800,=2372884969658.94,=2164475749068.0,=215056498653.42,,=0.0368
2026-05-11,=6.8100,=6.8100,=6.8100,=6.8100,=2383384460675.13,=2174053075391.0,=216008076081.09,,=0.0366
2026-05-08,=6.9000,=6.9000,=6.9000,=6.9000,=2414882933723.7,=2202785054361.0,=218862808364.1,,=0.0362
2026-05-07,=6.8700,=6.8700,=6.8700,=6.8700,=2404383442707.5103,=2193207728038.0,=217911230936.43,,=0.0363
2026-05-06,=6.8600,=6.8600,=6.8600,=6.8600,=2400883612368.7803,=2190015285930.0,=217594038460.54,,=0.0364
2026-04-30,=6.9200,=6.9200,=6.9200,=6.9200,=2421882594401.16,=2209169938577.0,=219497193315.88,,=0.0361
2026-04-29,=6.9400,=6.9400,=6.9400,=6.9400,=2428882255078.62,=2215554822792.0,=220131578267.66,,=0.0360
2026-04-28,=6.9800,=6.9800,=6.9800,=6.9800,=2442881576433.54,=2228324591223.0,=221400348171.22,,=0.0357
2026-04-27,=6.9200,=6.9200,=6.9200,=6.9200,=2421882594401.16,=2209169938577.0,=219497193315.88,,=0.0361
