date,总资产收益率(ROA),毛利率(GM),净利润率,资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,-0.0071,0.7962,-0.0191,-0.0061,-0.0086
2025-12-31,-0.0008,0.8211,-0.0019,-0.0817,-0.0009
2025-09-30,0.027,0.8447,0.0656,0.0317,0.0325
2025-06-30,0.0597,0.851,0.1373,0.0698,0.0727
2025-03-31,0.0733,0.8683,0.172,0.0844,0.0872
2024-12-31,0.0876,0.8572,0.2011,0.1013,0.1059
2024-09-30,0.1289,0.8649,0.2742,0.1485,0.1558
2024-06-30,0.1503,0.8423,0.2902,0.1736,0.1835
2024-03-31,0.1675,0.8507,0.3213,0.1944,0.2024
2023-12-31,0.1682,0.8597,0.3279,0.1974,0.2084
2023-09-30,0.1605,0.8501,0.3239,0.1885,0.1994
2023-06-30,0.1637,0.8707,0.3294,0.194,0.2066
2023-03-31,0.1567,0.8696,0.3161,0.1862,0.1979
2022-12-31,0.1737,0.88,0.3338,0.2075,0.2216
2022-09-30,0.1765,0.8917,0.3441,0.211,0.2258
2022-06-30,0.1829,0.8912,0.3483,0.2196,0.2373
2022-03-31,0.2012,0.8832,0.3617,0.2433,0.265
2021-12-31,0.198,0.8761,0.3627,0.2413,0.2637
2021-09-30,0.2172,0.8689,0.3955,0.2652,0.2927
2021-06-30,0.2228,0.8796,0.4037,0.2719,0.3036
2021-03-31,0.2296,0.8713,0.3957,0.2866,0.3221
2020-12-31,0.2237,0.8669,0.3857,0.2882,0.3131
2020-09-30,0.225,0.8563,0.3657,0.2952,0.3223
2020-06-30,0.224,0.8588,0.35,0.2927,0.3236
2020-03-31,0.2028,0.8686,0.3317,0.2756,0.3058
2019-12-31,0.2123,0.8519,0.3186,0.2947,0.3105
2019-09-30,0.2034,0.8566,0.3004,0.2871,0.292
2019-06-30,0.1864,0.8467,0.2791,,0.268
2019-03-31,0.1887,0.8344,0.2718,,0.2829
2018-12-31,0.1745,0.851,0.2722,0.2471,0.2538
2018-09-30,0.1773,0.8154,0.2551,,0.2569
2018-06-30,0.1758,0.8143,0.2472,,0.2506
2018-03-31,0.1419,0.8273,0.2333,,0.2039
2017-12-31,0.1369,0.8194,0.2261,,0.1922
2017-09-30,0.134,0.8763,0.2666,,0.1886
2017-06-30,0.1286,0.8283,0.2478,,0.1784
2017-03-31,0.1364,0.815,0.2414,,0.2026
2016-12-31,0.1351,0.7942,0.2336,,0.1966
2016-09-30,0.1314,0.7712,0.2174,,0.1841
2016-06-30,0.1317,0.7927,0.2277,,0.1849
