日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=20.5800,=20.5800,=20.5800,=20.5800,=192991618197.0,=128687324698.0,=80709261497.34,,=10.3106,,,,
2026-07-02,=20.4200,=20.4200,=20.4200,=20.4200,=191491197453.0,=127686840153.0,=80081784245.66,,=10.2304,,,,
2026-07-01,=20.3000,=20.3000,=20.3000,=20.3000,=190365881895.0,=126936476743.0,=79611176306.9,,=10.1703,,,,
2026-06-30,=20.4100,=20.4100,=20.4100,=20.4100,=191397421156.5,=127624309869.0,=80042566917.43,,=10.2254,,,,
2026-06-29,=20.4200,=20.4200,=20.4200,=20.4200,=191491197453.0,=127686840153.0,=80081784245.66,,=10.2304,,,,
2026-06-26,=19.7200,=19.7200,=19.7200,=19.7200,=184926856698.0,=123309720265.0,=77336571269.56,,=9.8797,,,,
2026-06-25,=19.8600,=19.8600,=19.8600,=19.8600,=186239724849.0,=124185144242.0,=77885613864.78,,=9.9499,,,,
2026-06-24,=19.3400,=19.3400,=19.3400,=19.3400,=181363357431.0,=120933569469.0,=75846312796.82,,=9.6894,,,,
2026-06-23,=19.7200,=19.7200,=19.7200,=19.7200,=184926856698.0,=123309720265.0,=77336571269.56,,=9.8797,,,,
2026-06-22,=19.9800,=19.9800,=19.9800,=19.9800,=187365040407.0,=124935507652.0,=78356221803.54,,=10.0100,,,,
2026-06-18,=19.4500,=19.4500,=19.4500,=19.4500,=182394896692.5,=121621402594.0,=76277703407.35,,=9.7445,,,,
2026-06-17,=20.4900,=20.4900,=20.4900,=20.4900,=192147631528.5,=128124552141.0,=80356305543.27,,=10.2655,,,,
2026-06-16,=20.7200,=20.7200,=20.7200,=20.7200,=194304486348.0,=129562748676.0,=81258304092.56,,=10.3807,,,,
2026-06-15,=20.9700,=20.9700,=20.9700,=20.9700,=196648893760.5,=131126005779.0,=82238737298.31,,=10.5060,,,,
2026-06-12,=21.1300,=21.1300,=21.1300,=21.1300,=198149314504.5,=132126490324.0,=82866214549.99,,=10.5861,,,,
2026-06-11,=21.1100,=21.1100,=21.1100,=21.1100,=197961761911.5,=132001429756.0,=82787779893.53,,=10.5761,,,,
2026-06-10,=20.4200,=20.4200,=20.4200,=20.4200,=191491197453.0,=127686840153.0,=80081784245.66,,=10.2304,,,,
2026-06-09,=20.0700,=20.0700,=20.0700,=20.0700,=188209027075.5,=125498280209.0,=78709177757.61,,=10.0551,,,,
2026-06-08,=20.1700,=20.1700,=20.1700,=20.1700,=189146790040.5,=126123583050.0,=79101351039.91,,=10.1052,,,,
2026-06-05,=20.3100,=20.3100,=20.3100,=20.3100,=190459658191.5,=126999007027.0,=79650393635.13,,=10.1753,,,,
