日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=140.0200,=140.0200,=140.0200,=140.0200,=169766043987.88,=169623593101.0,=82247845733.96,,=5.0833,,,,
2026-07-02,=139.2000,=139.2000,=139.2000,=139.2000,=168771842044.8,=168630225394.0,=81766177161.6,,=5.0535,,,,
2026-07-01,=141.7000,=141.7000,=141.7000,=141.7000,=171802945529.8,=171658785476.0,=83234678906.6,,=5.1443,,,,
2026-06-30,=135.8300,=135.8300,=135.8300,=135.8300,=164685914547.02,=164547726402.0,=79786636809.34,,=4.9312,,,,
2026-06-29,=137.4900,=137.4900,=137.4900,=137.4900,=166698567261.06,=166558690297.0,=80761721968.02,,=4.9914,,,,
2026-06-26,=133.9800,=133.9800,=133.9800,=133.9800,=162442897968.12,=162306591941.0,=78699945518.04,,=4.8640,,,,
2026-06-25,=138.1600,=138.1600,=138.1600,=138.1600,=167510902995.04,=167370344399.0,=81155280435.68,,=5.0157,,,,
2026-06-24,=136.7300,=136.7300,=136.7300,=136.7300,=165777111801.62,=165638008032.0,=80315297437.54,,=4.9638,,,,
2026-06-23,=139.3800,=139.3800,=139.3800,=139.3800,=168990081495.72,=168848281720.0,=81871909287.24,,=5.0600,,,,
2026-06-22,=141.8500,=141.8500,=141.8500,=141.8500,=171984811738.9,=171840499081.0,=83322789011.3,,=5.1497,,,,
2026-06-18,=140.0100,=140.0100,=140.0100,=140.0100,=169753919573.94,=169611478860.0,=82241971726.98,,=5.0829,,,,
2026-06-17,=143.3500,=143.3500,=143.3500,=143.3500,=173803473829.9,=173657635131.0,=84203890058.3,,=5.2042,,,,
2026-06-16,=142.9000,=142.9000,=142.9000,=142.9000,=173257875202.6,=173112494316.0,=83939559744.2,,=5.1878,,,,
2026-06-15,=146.5000,=146.5000,=146.5000,=146.5000,=177622664221.0,=177473620835.0,=86054202257.0,,=5.3185,,,,
2026-06-12,=151.0400,=151.0400,=151.0400,=151.0400,=183127148149.76,=182973485944.0,=88721001425.92,,=5.4833,,,,
2026-06-11,=146.8800,=146.8800,=146.8800,=146.8800,=178083391950.72,=177933961967.0,=86277414522.24,,=5.3323,,,,
2026-06-10,=143.5000,=143.5000,=143.5000,=143.5000,=173985340039.0,=173839348736.0,=84292000163.0,,=5.2096,,,,
2026-06-09,=142.3300,=142.3300,=142.3300,=142.3300,=172566783608.02,=172421982617.0,=83604741346.34,,=5.1671,,,,
2026-06-08,=142.7400,=142.7400,=142.7400,=142.7400,=173063884579.56,=172918666470.0,=83845575632.52,,=5.1820,,,,
2026-06-05,=144.3900,=144.3900,=144.3900,=144.3900,=175064412879.66,=174917516125.0,=84814786784.22,,=5.2419,,,,
