date,资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA),毛利率(GM)
2026-03-31,0.1558,0.185,0.0351,0.0541,0.2888
2025-12-31,0.207,0.2287,0.0372,0.0516,0.2914
2025-09-30,0.3095,0.3608,0.0467,0.0654,0.292
2025-06-30,0.295,0.3582,0.0453,0.0661,0.2788
2025-03-31,0.2673,0.3564,0.0391,0.0667,0.2725
2024-12-31,0.3812,0.4962,0.0327,0.0651,0.2615
2024-09-30,0.2257,0.3299,0.0215,0.0414,0.2345
2024-06-30,-0.0074,-0.078,-0.0073,-0.011,0.2149
2024-03-31,-0.2085,-0.39,-0.0554,-0.0592,0.1568
2023-12-31,-0.2904,-0.489,-0.116,-0.0846,0.1039
2023-09-30,-0.3351,-0.5712,-0.184,-0.1227,0.0985
2023-06-30,-0.2904,-0.495,-0.1541,-0.1291,0.1118
2023-03-31,-0.3379,-0.6419,-0.1464,-0.1279,0.1166
2022-12-31,-0.3595,-0.5956,-0.1531,-0.132,0.1132
2022-09-30,-0.3081,-0.4977,-0.1635,-0.1273,0.0926
2022-06-30,-0.2545,-0.4096,-0.1948,-0.1219,0.0603
2022-03-31,-0.2614,-0.5338,-0.1698,-0.1073,0.0473
2021-12-31,-0.2013,-0.3942,-0.1574,-0.0903,0.0377
2021-09-30,-0.2012,-0.3933,-0.1667,-0.1007,0.0103
2021-06-30,-0.1534,-0.2926,-0.1402,-0.0803,0.0252
2021-03-31,-0.1634,-0.3517,-0.1432,-0.0824,0.04
2020-12-31,-0.1616,-0.3317,-0.1562,-0.0795,0.0456
2020-09-30,-0.0134,-0.0723,-0.0331,-0.0197,0.1215
2020-06-30,0.0024,-0.0493,-0.0216,-0.0132,0.1401
2020-03-31,-0.0088,-0.0725,-0.033,-0.0195,0.1493
2019-12-31,0.0139,0.0114,0.0047,0.003,0.173
2019-09-30,0.1309,-0.0376,-0.0152,-0.0101,0.1942
2019-06-30,,-0.0392,-0.0146,-0.0101,0.2121
2019-03-31,,0.0079,0.0028,0.0021,0.2315
2018-12-31,0.0559,0.078,0.0251,0.0202,0.2386
2018-09-30,,0.1324,0.0347,0.0317,0.2385
2018-06-30,,0.1954,0.0479,0.0466,0.2326
2018-03-31,,0.2197,0.0545,0.0521,0.2265
2017-12-31,,0.2118,0.0502,0.0506,0.2218
2017-09-30,,0.2159,0.0487,0.0505,0.2089
2017-06-30,,0.2107,0.0476,0.0531,0.2014
2017-03-31,,0.1922,0.0417,0.0445,
2016-12-31,,0.1635,0.0392,0.0394,0.1934
2016-09-30,,,0.0449,,0.197
2016-06-30,,,0.0396,,0.1999
