date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,2.5918,11038778474,-20950295141,-1.7457
2025-12-31,4.7039,24928166362,28913743329,0.2842
2025-09-30,3.6101,19462431982,22649447025,0.1318
2025-06-30,3.1884,14141623888,14436525233,-0.1176
2025-03-31,2.5405,7291944540,-7630293915,-7.4285
2024-12-31,4.7499,15526456240,22515265144,2.5193
2024-09-30,10.0853,21936982494,20011850281,24.2695
2024-06-30,-39.2082,21539344528,16360161639,6.3725
2024-03-31,-3.0688,5526126990,1186944941,1.5476
2023-12-31,-1.5391,3255049494,6397611621,6.4749
2023-09-30,0.6338,-5750570564,-860004150,-1.7184
2023-06-30,0.8978,-6954535616,-3045156343,-10.6803
2023-03-31,0.6382,-5345199570,-2167712504,-13.068
2022-12-31,0.2238,-3785809147,-1168541991,-0.1834
2022-09-30,-0.2153,-1633349584,1197123302,2.5158
2022-06-30,0.1201,-2878802481,314571564,2.9203
2022-03-31,0.2793,-2996518404,-154087920,0.4106
2021-12-31,0.3753,-2064332386,-987448451,-1.9076
2021-09-30,0.06,-1122144646,-789767847,-2.704
2021-06-30,-0.283,-345096253,-163813415,-1.5666
2021-03-31,-0.5997,224552825,-261440293,0.4545
2020-12-31,-0.4869,-280230064,1087930057,2.2809
2020-09-30,-1.224,-136015514,463489514,1.9888
2020-06-30,-1.3804,-778955409,289139090,1.0603
2020-03-31,-0.3028,-1498453527,-479223462,-0.5695
2019-12-31,3.883,-1589892866,331593793,-0.7031
2019-09-30,-2.6192,-2164352902,155074300,-0.7279
2019-06-30,-1.6598,-2572386213,140336891,-0.8304
2019-03-31,2.8347,-2727518210,-305328416,-1.4654
2018-12-31,2.1884,-1455205106,1111350687,0.1145
2018-09-30,1.7435,-1489970349,569819988,1.227
2018-06-30,1.3658,-708270388,827657474,1.2669
2018-03-31,0.9315,-674650449,656102240,0.2584
2017-12-31,0.9054,-518127814,997184219,-0.1298
2017-09-30,0.5408,-122422926,255873393,-0.703
2017-06-30,0.9469,374190050,365109057,-0.4051
2017-03-31,1.8809,841273698,521381915,1.7955
2016-12-31,1.8043,553514599,1145904173,1.926
2016-09-30,1.6055,400332426,861444287,2.3476
2016-06-30,1.3916,70773345,613744142,0.7084
