日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=21.5400,=21.5400,=21.5400,=21.5400,=208830300000.0,=208830300000.0,=72569107275.9,,=1.3304,,,,
2026-07-02,=21.5000,=21.5000,=21.5000,=21.5000,=208442500000.0,=208442500000.0,=72434345702.5,,=1.3279,,,,
2026-07-01,=20.9700,=20.9700,=20.9700,=20.9700,=203304150000.0,=203304150000.0,=70648754854.95,,=1.2952,,,,
2026-06-30,=20.3500,=20.3500,=20.3500,=20.3500,=197293250000.0,=197293250000.0,=68559950467.25,,=1.2569,,,,
2026-06-29,=21.0000,=21.0000,=21.0000,=21.0000,=203595000000.0,=203595000000.0,=70749826035.0,,=1.2970,,,,
2026-06-26,=20.7000,=20.7000,=20.7000,=20.7000,=200686500000.0,=200686500000.0,=69739114234.5,,=1.2785,,,,
2026-06-25,=21.6100,=21.6100,=21.6100,=21.6100,=209508950000.0,=209508950000.0,=72804940029.35,,=1.3347,,,,
2026-06-24,=22.0400,=22.0400,=22.0400,=22.0400,=213677800000.0,=213677800000.0,=74253626943.4,,=1.3613,,,,
2026-06-23,=22.5800,=22.5800,=22.5800,=22.5800,=218913100000.0,=218913100000.0,=76072908184.3,,=1.3946,,,,
2026-06-22,=23.3000,=23.3000,=23.3000,=23.3000,=225893500000.0,=225893500000.0,=78498616505.5,,=1.4391,,,,
2026-06-18,=22.9700,=22.9700,=22.9700,=22.9700,=222694150000.0,=222694150000.0,=77386833524.95,,=1.4187,,,,
2026-06-17,=23.5800,=23.5800,=23.5800,=23.5800,=228608100000.0,=228608100000.0,=79441947519.3,,=1.4564,,,,
2026-06-16,=24.4000,=24.4000,=24.4000,=24.4000,=236558000000.0,=236558000000.0,=82204559774.0,,=1.5070,,,,
2026-06-15,=25.2600,=25.2600,=25.2600,=25.2600,=244895700000.0,=244895700000.0,=85101933602.1,,=1.5601,,,,
2026-06-12,=27.0000,=27.0000,=27.0000,=27.0000,=261765000000.0,=261765000000.0,=90964062045.0,,=1.6676,,,,
2026-06-11,=26.9300,=26.9300,=26.9300,=26.9300,=261086350000.0,=261086350000.0,=90728229291.55,,=1.6633,,,,
2026-06-10,=26.6300,=26.6300,=26.6300,=26.6300,=258177850000.0,=258177850000.0,=89717517491.05,,=1.6448,,,,
2026-06-09,=27.0000,=27.0000,=27.0000,=27.0000,=261765000000.0,=261765000000.0,=90964062045.0,,=1.6676,,,,
2026-06-08,=27.8000,=27.8000,=27.8000,=27.8000,=269521000000.0,=269521000000.0,=93659293513.0,,=1.7170,,,,
2026-06-05,=27.1400,=27.1400,=27.1400,=27.1400,=263122300000.0,=263122300000.0,=91435727551.9,,=1.6763,,,,
2026-06-04,=27.4100,=27.4100,=27.4100,=27.4100,=265739950000.0,=265739950000.0,=92345368172.35,,=1.6929,,,,
2026-06-03,=27.1200,=27.1200,=27.1200,=27.1200,=262928400000.0,=262928400000.0,=91368346765.2,,=1.6750,,,,
2026-06-02,=26.3700,=26.3700,=26.3700,=26.3700,=255657150000.0,=255657150000.0,=88841567263.95,,=1.6287,,,,
2026-06-01,=26.7700,=26.7700,=26.7700,=26.7700,=259535150000.0,=259535150000.0,=90189182997.95,,=1.6534,,,,
2026-05-29,=25.7400,=25.7400,=25.7400,=25.7400,=249549300000.0,=249549300000.0,=86719072482.9,,=1.5898,,,,
2026-05-28,=24.6600,=24.6600,=24.6600,=24.6600,=239078700000.0,=239078700000.0,=83080510001.1,,=1.5231,,,,
2026-05-27,=24.6600,=24.6600,=24.6600,=24.6600,=239078700000.0,=239078700000.0,=83080510001.1,,=1.5231,,,,
2026-05-26,=23.9500,=23.9500,=23.9500,=23.9500,=232195250000.0,=232195250000.0,=80688492073.25,,=1.4792,,,,
2026-05-25,=23.8900,=23.8900,=23.8900,=23.8900,=231613550000.0,=231613550000.0,=80486349713.15,,=1.4755,,,,
2026-05-22,=23.3200,=23.3200,=23.3200,=23.3200,=226087400000.0,=226087400000.0,=78565997292.2,,=1.4403,,,,
2026-05-21,=23.4200,=23.4200,=23.4200,=23.4200,=227056900000.0001,=227056900000.0,=78902901225.7,,=1.4465,,,,
2026-05-20,=24.1700,=24.1700,=24.1700,=24.1700,=234328150000.0001,=234328150000.0,=81429680726.95,,=1.4928,,,,
2026-05-19,=24.3900,=24.3900,=24.3900,=24.3900,=236461050000.0,=236461050000.0,=82170869380.65,,=1.5064,,,,
2026-05-18,=24.3900,=24.3900,=24.3900,=24.3900,=236461050000.0,=236461050000.0,=82170869380.65,,=1.5064,,,,
2026-05-15,=23.8600,=23.8600,=23.8600,=23.8600,=231322700000.0,=231322700000.0,=80385278533.1,,=1.4737,,,,
2026-05-14,=23.3400,=23.3400,=23.3400,=23.3400,=226281300000.0,=226281300000.0,=78633378078.9,,=1.4416,,,,
