date,总资产收益率(ROA),净利润率,净资产收益率(ROE)
2026-03-31,0.0114,0.151,0.1128
2025-12-31,0.0118,0.1507,0.1164
2025-09-30,0.0124,0.1489,0.1219
2025-06-30,0.0109,0.1359,0.1078
2025-03-31,0.0109,0.1347,0.106
2024-12-31,0.012,0.1426,0.1158
2024-09-30,0.0118,0.1435,0.1124
2024-06-30,0.0097,0.1245,0.0915
2024-03-31,0.0093,0.1194,0.0874
2023-12-31,0.0096,0.1196,0.0909
2023-09-30,0.0108,0.1274,0.1028
2023-06-30,0.0108,0.1207,0.1011
2023-03-31,0.0116,0.1194,0.1084
2022-12-31,0.0101,0.0967,0.0954
2022-09-30,0.0115,0.1042,0.1105
2022-06-30,0.0122,0.1085,0.117
2022-03-31,0.0114,0.1013,0.1104
2021-12-31,0.0124,0.1032,0.1179
2021-09-30,0.0148,0.1178,0.1431
2021-06-30,0.0162,0.1237,0.1551
2021-03-31,0.0176,0.1317,0.1697
2020-12-31,0.018,0.1308,0.1732
2020-09-30,0.0162,0.1152,0.1589
2020-06-30,0.0164,0.1161,0.1596
2020-03-31,0.0181,0.1299,0.1773
2019-12-31,0.0214,0.1406,0.214
2019-09-30,0.0235,0.1543,0.239
2019-06-30,0.0224,0.1493,0.2308
2019-03-31,0.0199,0.1348,0.2084
2018-12-31,0.0177,0.1233,0.1895
2018-09-30,0.0175,0.1168,0.1889
2018-06-30,0.018,0.1202,0.1981
2018-03-31,0.0165,0.1103,0.1817
2017-12-31,0.0166,0.1122,0.1861
2017-09-30,0.0144,0.0998,0.1592
2017-06-30,0.0134,0.094,0.151
2017-03-31,0.0139,0.0971,0.1558
2016-12-31,0.014,0.1016,0.1608
2016-09-30,0.0148,0.1062,0.1662
