日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=7.0400,=7.0400,=7.0400,=7.0400,=2509100049906.56,=1898069976275.0,=243744124243.84,,=2.9317,,,,
2026-07-02,=7.0500,=7.0500,=7.0500,=7.0500,=2512664112477.4497,=1900766098400.0,=244090351693.05,,=2.9358,,,,
2026-07-01,=7.0600,=7.0600,=7.0600,=7.0600,=2516228175048.34,=1903462220525.0,=244436579142.26,,=2.9400,,,,
2026-06-30,=7.0700,=7.0700,=7.0700,=7.0700,=2519792237619.23,=1906158342651.0,=244782806591.47,,=2.9441,,,,
2026-06-29,=7.2200,=7.2200,=7.2200,=7.2200,=2573253176182.58,=1946600174532.0,=249976218329.62,,=3.0066,,,,
2026-06-26,=7.1500,=7.1500,=7.1500,=7.1500,=2548304738186.35,=1927727319654.0,=247552626185.15,,=2.9775,,,,
2026-06-25,=7.1900,=7.1900,=7.1900,=7.1900,=2562560988469.91,=1938511808155.0,=248937535981.99,,=2.9941,,,,
2026-06-24,=7.2200,=7.2200,=7.2200,=7.2200,=2573253176182.58,=1946600174532.0,=249976218329.62,,=3.0066,,,,
2026-06-23,=7.3800,=7.3800,=7.3800,=7.3800,=2630278177316.82,=1989738128538.0,=255515857516.98,,=3.0732,,,,
2026-06-22,=7.2000,=7.2000,=7.2000,=7.2000,=2566125051040.8003,=1941207930281.0,=249283763431.2,,=2.9983,,,,
2026-06-18,=7.1600,=7.1600,=7.1600,=7.1600,=2551868800757.24,=1930423441779.0,=247898853634.36,,=2.9816,,,,
2026-06-17,=7.3600,=7.3600,=7.3600,=7.3600,=2623150052175.04,=1984345884287.0,=254823402618.56,,=3.0649,,,,
2026-06-16,=7.4200,=7.4200,=7.4200,=7.4200,=2644534427600.38,=2000522617039.0,=256900767313.82,,=3.0899,,,,
2026-06-15,=7.5700,=7.5700,=7.5700,=7.5700,=2697995366163.73,=2040964448920.0,=262094179051.97,,=3.1524,,,,
2026-06-12,=7.7800,=7.7800,=7.7800,=7.7800,=2772840680152.42,=2097583013553.0,=269364955485.38,,=3.2398,,,,
2026-06-11,=7.6600,=7.6600,=7.6600,=7.6600,=2730071929301.74,=2065229548049.0,=265210226094.86,,=3.1898,,,,
2026-06-10,=7.6900,=7.6900,=7.6900,=7.6900,=2740764117014.41,=2073317914425.0,=266248908442.49,,=3.2023,,,,
2026-06-09,=7.5400,=7.5400,=7.5400,=7.5400,=2687303178451.06,=2032876082544.0,=261055496704.34,,=3.1399,,,,
2026-06-08,=7.5000,=7.5000,=7.5000,=7.5000,=2673046928167.5,=2022091594043.0,=259670586907.5,,=3.1232,,,,
2026-06-05,=7.3400,=7.3400,=7.3400,=7.3400,=2616021927033.26,=1978953640036.0,=254130947720.14,,=3.0566,,,,
