date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,4373703598,357002919,-0.8222,1.1563
2025-12-31,5931043950,12055090552,0.4079,1.2939
2025-09-30,5965464386,9884629654,0.5729,1.3382
2025-06-30,4710885177,5354475815,0.6102,1.2022
2025-03-31,3651393716,2007595043,0.5441,1.1378
2024-12-31,3183428653,8562187329,0.123,1.141
2024-09-30,4006881525,6284478745,0.1532,1.2112
2024-06-30,3571131107,3325262229,0.0641,1.2432
2024-03-31,3377567676,1300199825,-0.0763,1.2317
2023-12-31,3242131099,7624580890,0.2938,1.3545
2023-09-30,2649601808,5449425317,0.2726,1.4173
2023-06-30,1891161107,3124847388,0.0453,1.1574
2023-03-31,2203063074,1407625685,0.0495,1.2424
2022-12-31,2846209679,5893041655,0.0381,1.2399
2022-09-30,2595778746,4282060578,-0.0654,1.2087
2022-06-30,2914118423,2989284840,-0.0823,1.4399
2022-03-31,3047493826,1341209694,-0.2371,1.665
2021-12-31,3486326140,5677009641,0.0756,1.8063
2021-09-30,4701597889,4581800836,0.5413,1.9847
2021-06-30,5126308587,3257456398,1.2909,2.0905
2021-03-31,4206910549,1757993567,1.0202,2.0598
2020-12-31,3538488156,5277762139,0.0294,2.0311
2020-09-30,2622016663,2972707157,-0.1595,2.007
2020-06-30,2283579078,1421941789,-0.3135,1.9012
2020-03-31,3053191889,870222855,0.1719,1.9096
2019-12-31,2388188459,5126914831,-0.1172,1.769
2019-09-30,1946327355,3536992414,-0.2172,1.5104
2019-06-30,2054018812,2071308982,-0.2269,1.4114
2019-03-31,1903698516,742548725,-0.3733,1.3075
2018-12-31,2279881766,5807861303,0.1795,1.4141
2018-09-30,2728837711,4518444511,0.421,1.4523
2018-06-30,1975200565,2595013451,0.509,1.5614
2018-03-31,1238919164,1124024008,0.0681,1.6126
2017-12-31,1290020811,4796512051,0.3188,1.5236
2017-09-30,562099649,3124665802,0.1455,1.2963
2017-06-30,750476072,1719648453,0.1579,1.2611
2017-03-31,775343881,1052335467,0.7686,1.2589
2016-12-31,124469159,3636974860,0.2065,1.1573
2016-09-30,-197668728,2727876775,0.2062,1.1874
