date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,216566027086.68,0.0181,16.4528,,,,,1.0110,,,,,2.0579,,,,,17.0564,,,,,2.0148,,,,
2026-07-02,214750353543.6,0.0182,16.3149,,,,,1.0025,,,,,2.0407,,,,,16.9134,,,,,1.9979,,,,
2026-07-01,213779907339.54,0.0183,16.2412,,,,,0.9980,,,,,2.0315,,,,,16.8369,,,,,1.9889,,,,
2026-06-30,214155563934.66,0.0183,16.2697,,,,,0.9997,,,,,2.0350,,,,,16.8665,,,,,1.9924,,,,
2026-06-29,225174824058.18,0.0174,17.1069,,,,,1.0511,,,,,2.1397,,,,,17.7344,,,,,2.0949,,,,
2026-06-26,224736558030.54,0.0174,17.0736,,,,,1.0491,,,,,2.1356,,,,,17.6999,,,,,2.0908,,,,
2026-06-25,230434016389.86,0.0170,17.5064,,,,,1.0757,,,,,2.1897,,,,,18.1486,,,,,2.1439,,,,
2026-06-24,233846230462.2,0.0167,17.7656,,,,,1.0916,,,,,2.2221,,,,,18.4173,,,,,2.1756,,,,
2026-06-23,227898334372.8,0.0172,17.3138,,,,,1.0639,,,,,2.1656,,,,,17.9489,,,,,2.1203,,,,
2026-06-22,232594041811.8,0.0168,17.6705,,,,,1.0858,,,,,2.2102,,,,,18.3187,,,,,2.1639,,,,
2026-06-18,216159065775.3,0.0181,16.4219,,,,,1.0091,,,,,2.0541,,,,,17.0243,,,,,2.0110,,,,
2026-06-17,221606086404.54,0.0177,16.8357,,,,,1.0345,,,,,2.1058,,,,,17.4533,,,,,2.0617,,,,
2026-06-16,219352146833.82,0.0178,16.6645,,,,,1.0240,,,,,2.0844,,,,,17.2758,,,,,2.0408,,,,
2026-06-15,230089664511.0,0.0170,17.4802,,,,,1.0741,,,,,2.1864,,,,,18.1215,,,,,2.1406,,,,
2026-06-12,224360901435.42,0.0174,17.0450,,,,,1.0473,,,,,2.1320,,,,,17.6703,,,,,2.0874,,,,
2026-06-11,210211169685.9,0.0186,15.9700,,,,,0.9813,,,,,1.9975,,,,,16.5559,,,,,1.9557,,,,
2026-06-10,212559023405.4,0.0184,16.1484,,,,,0.9923,,,,,2.0199,,,,,16.7408,,,,,1.9776,,,,
2026-06-09,216785160100.5,0.0181,16.4695,,,,,1.0120,,,,,2.0600,,,,,17.0736,,,,,2.0169,,,,
2026-06-08,218350395913.5,0.0179,16.5884,,,,,1.0193,,,,,2.0749,,,,,17.1969,,,,,2.0314,,,,
2026-06-05,226833974019.96,0.0173,17.2329,,,,,1.0589,,,,,2.1555,,,,,17.8651,,,,,2.1104,,,,
2026-06-04,225926137248.42,0.0173,17.1639,,,,,1.0547,,,,,2.1469,,,,,17.7936,,,,,2.1019,,,,
2026-06-03,232187080500.42,0.0169,17.6396,,,,,1.0839,,,,,2.2064,,,,,18.2867,,,,,2.1602,,,,
