date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,1956908000000,594433000000,-0.1756,5.7591
2025-12-31,2081707000000,2101242000000,5.2163,6.1839
2025-09-30,1175193000000,1817380000000,0.9033,3.5559
2025-06-30,1283854000000,1256614000000,3.3212,3.9051
2025-03-31,832077000000,721067000000,2.4446,2.5509
2024-12-31,314398000000,338023000000,-0.4742,1.0052
2024-09-30,1102477000000,954869000000,1.001,3.3535
2024-06-30,94597000000,290805000000,-0.643,0.3605
2024-03-31,452916000000,209335000000,-0.4354,1.4578
2023-12-31,622069000000,642850000000,-0.343,1.9336
2023-09-30,609634000000,477206000000,-0.4211,1.9024
2023-06-30,959917000000,814615000000,-0.0011,2.9737
2023-03-31,854185000000,370787000000,-0.2274,2.6788
2022-12-31,958411000000,978419000000,1.2404,3.0276
2022-09-30,766198000000,824265000000,0.7418,2.4813
2022-06-30,1059317000000,815501000000,3.7369,3.4667
2022-03-31,640626000000,479940000000,0.8943,2.1485
2021-12-31,418436000000,436718000000,-0.2479,1.4369
2021-09-30,422585000000,473225000000,-0.2251,1.4817
2021-06-30,667388000000,172159000000,1.7458,2.3901
2021-03-31,315702000000,253365000000,-0.4882,1.2301
2020-12-31,556572000000,580685000000,-0.001,2.1225
2020-09-30,993991000000,610678000000,2.432,4.0651
2020-06-30,508080000000,62700000000,-0.4509,2.0986
2020-03-31,774716000000,495018000000,0.7575,2.9185
2019-12-31,560419000000,581287000000,0.3099,2.1591
2019-09-30,27025000000,177939000000,-0.7611,0.1824
2019-06-30,437002000000,114178000000,-0.5834,1.7279
2019-03-31,530378000000,281660000000,-0.1915,2.1163
2018-12-31,597660000000,615831000000,6.7865,2.4091
2018-09-30,673903000000,744866000000,4.5003,2.6875
2018-06-30,455527000000,274080000000,3.2643,1.8813
2018-03-31,142147000000,348373000000,0.323,0.6633
2017-12-31,56827000000,79090000000,-0.9104,0.3247
2017-09-30,-31357000000,135424000000,-0.8671,-0.0056
2017-06-30,263478000000,-121046000000,-1.2566,1.22
2017-03-31,756867000000,263313000000,-0.2686,3.348
2016-12-31,854790000000,882532000000,0.3931,3.7976
2016-09-30,1061803000000,1019291000000,0.8124,4.7105
2016-06-30,754799000000,471732000000,0.4759,3.4076
