日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=6.1200,=6.1200,=6.1200,=6.1200,=83106793980.0,=70399862460.0,=27827204929.2,,=0.0827,,,,
2026-07-02,=6.0800,=6.0800,=6.0800,=6.0800,=82563612320.0,=69939732640.0,=27645327772.8,,=0.0822,,,,
2026-07-01,=6.0500,=6.0500,=6.0500,=6.0500,=82156226075.0,=69594635275.0,=27508919905.5,,=0.0818,,,,
2026-06-30,=5.9500,=5.9500,=5.9500,=5.9500,=80798271925.0,=68444310725.0,=27054227014.5,,=0.0804,,,,
2026-06-29,=6.0400,=6.0400,=6.0400,=6.0400,=82020430660.0,=69479602820.0,=27463450616.4,,=0.0816,,,,
2026-06-26,=6.0200,=6.0200,=6.0200,=6.0200,=81748839830.0,=69249537910.0,=27372512038.2,,=0.0814,,,,
2026-06-25,=6.1400,=6.1400,=6.1400,=6.1400,=83378384810.0,=70629927370.0,=27918143507.4,,=0.0830,,,,
2026-06-24,=6.2300,=6.2300,=6.2300,=6.2300,=84600543545.0,=71665219465.0,=28327367109.3,,=0.0842,,,,
2026-06-23,=6.3000,=6.3000,=6.3000,=6.3000,=85551111450.0,=72470446650.0,=28645652133.0,,=0.0852,,,,
2026-06-22,=6.3600,=6.3600,=6.3600,=6.3600,=86365883940.0,=73160641380.0,=28918467867.6,,=0.0860,,,,
2026-06-18,=6.3000,=6.3000,=6.3000,=6.3000,=85551111450.0,=72470446650.0,=28645652133.0,,=0.0852,,,,
2026-06-17,=6.4800,=6.4800,=6.4800,=6.4800,=87995428920.0,=74541030840.0,=29464099336.8,,=0.0876,,,,
2026-06-16,=6.3300,=6.3300,=6.3300,=6.3300,=85958497695.0,=72815544015.0,=28782060000.3,,=0.0856,,,,
2026-06-15,=6.4200,=6.4200,=6.4200,=6.4200,=87180656430.0,=73850836110.0,=29191283602.2,,=0.0868,,,,
2026-06-12,=6.4100,=6.4100,=6.4100,=6.4100,=87044861015.0,=73735803655.0,=29145814313.1,,=0.0866,,,,
2026-06-11,=6.3100,=6.3100,=6.3100,=6.3100,=85686906865.0,=72585479105.0,=28691121422.1,,=0.0853,,,,
