date,净资产收益率(ROE),资本回报率(ROIC),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0964,0.0864,0.061,0.2206,0.059
2025-12-31,0.098,0.0898,0.06,0.2159,0.0616
2025-09-30,0.1022,0.0941,0.0616,0.2223,0.0624
2025-06-30,0.1036,0.0952,0.0627,0.2259,0.0633
2025-03-31,0.107,0.0979,0.064,0.2279,0.0659
2024-12-31,0.11,0.0993,0.0625,0.2256,0.0667
2024-09-30,0.1112,0.1008,0.061,0.2345,0.0655
2024-06-30,0.1135,0.1029,0.0601,0.233,0.0675
2024-03-31,0.1122,0.1011,0.0592,0.2325,0.067
2023-12-31,0.1138,0.1008,0.0599,0.2353,0.0664
2023-09-30,0.1136,0.0997,0.0576,0.2244,0.0634
2023-06-30,0.1082,0.095,0.0537,0.2176,0.0608
2023-03-31,0.1113,0.097,0.0529,0.2227,0.0635
2022-12-31,0.1113,0.0961,0.0506,0.2196,0.0634
2022-09-30,0.107,0.0898,0.0487,0.2163,0.0581
2022-06-30,0.096,0.0811,0.0457,0.216,0.0522
2022-03-31,0.0889,0.0754,0.0446,0.2012,0.0493
2021-12-31,0.0826,0.0711,0.0439,0.2076,0.046
2021-09-30,0.077,0.0661,0.0443,0.2079,0.0414
2021-06-30,0.0892,0.0745,0.0566,0.2123,0.0478
2021-03-31,0.0556,0.0505,0.0397,0.2178,0.0299
2020-12-31,0.0238,0.0261,0.0173,0.2002,0.0128
2020-09-30,0.0244,0.026,0.016,0.1919,0.013
2020-06-30,0.0032,0.0054,0.002,0.1876,0.0017
2020-03-31,0.0263,0.0269,0.0154,0.1957,0.014
2019-12-31,0.0469,0.0447,0.0266,0.2044,0.0259
2019-09-30,0.044,0.0414,0.0255,0.2093,0.0242
2019-06-30,0.0525,0.0507,0.0304,0.2222,0.0294
2019-03-31,0.052,0.0472,0.0305,0.2243,0.0291
2018-12-31,0.0519,0.0472,0.0308,0.2249,0.0299
2018-09-30,0.0502,,0.031,0.2252,0.0285
2018-06-30,0.0382,,0.0247,0.2192,0.0221
2018-03-31,0.0298,,0.02,0.2139,0.0173
2017-12-31,0.0267,,0.0182,0.2141,0.0153
2017-09-30,0.0281,,0.02,0.2207,0.0159
2017-06-30,0.0244,,0.0181,0.22,0.0139
2017-03-31,0.0374,,0.029,0.23,0.0213
2016-12-31,0.0216,,0.0182,0.2358,0.0123
2016-09-30,0.0204,,0.0174,0.2321,0.0114
