date,市值(元),股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,107775441035.34,0.0109,1.2217,,,,,51.2697,,,,,3.8881,,,,,1.2013,,,,,46.7097,,,,
2026-07-02,107489564533.92,0.0109,1.2185,,,,,51.1337,,,,,3.8778,,,,,1.1981,,,,,46.5858,,,,
2026-07-01,107489564533.92,0.0109,1.2185,,,,,51.1337,,,,,3.8778,,,,,1.1981,,,,,46.5858,,,,
2026-06-30,106060182026.82,0.0111,1.2023,,,,,50.4537,,,,,3.8262,,,,,1.1822,,,,,45.9663,,,,
2026-06-29,106631935029.66,0.0110,1.2087,,,,,50.7257,,,,,3.8469,,,,,1.1885,,,,,46.2141,,,,
2026-06-26,108061317536.76,0.0108,1.2250,,,,,51.4057,,,,,3.8984,,,,,1.2045,,,,,46.8336,,,,
2026-06-25,107203688032.5,0.0109,1.2152,,,,,50.9977,,,,,3.8675,,,,,1.1949,,,,,46.4619,,,,
2026-06-24,112063588556.64,0.0105,1.2703,,,,,53.3096,,,,,4.0428,,,,,1.2491,,,,,48.5681,,,,
2026-06-23,114350600568.0,0.0103,1.2962,,,,,54.3975,,,,,4.1253,,,,,1.2746,,,,,49.5593,,,,
2026-06-22,115494106573.68,0.0101,1.3092,,,,,54.9415,,,,,4.1666,,,,,1.2873,,,,,50.0549,,,,
2026-06-18,116351736077.94,0.0101,1.3189,,,,,55.3495,,,,,4.1975,,,,,1.2969,,,,,50.4266,,,,
2026-06-17,118066995086.46,0.0099,1.3384,,,,,56.1654,,,,,4.2594,,,,,1.3160,,,,,51.1700,,,,
2026-06-16,117781118585.04,0.0100,1.3351,,,,,56.0294,,,,,4.2491,,,,,1.3128,,,,,51.0461,,,,
2026-06-15,119496377593.56,0.0098,1.3546,,,,,56.8454,,,,,4.3110,,,,,1.3319,,,,,51.7895,,,,
2026-06-12,119496377593.56,0.0098,1.3546,,,,,56.8454,,,,,4.3110,,,,,1.3319,,,,,51.7895,,,,
2026-06-11,118924624590.72,0.0099,1.3481,,,,,56.5734,,,,,4.2903,,,,,1.3255,,,,,51.5417,,,,
2026-06-10,117495242083.62,0.0100,1.3319,,,,,55.8935,,,,,4.2388,,,,,1.3096,,,,,50.9222,,,,
2026-06-09,118066995086.46,0.0099,1.3384,,,,,56.1654,,,,,4.2594,,,,,1.3160,,,,,51.1700,,,,
2026-06-08,117781118585.04,0.0100,1.3351,,,,,56.0294,,,,,4.2491,,,,,1.3128,,,,,51.0461,,,,
2026-06-05,120354007097.82,0.0097,1.3643,,,,,57.2534,,,,,4.3419,,,,,1.3415,,,,,52.1612,,,,
2026-06-04,122926895610.6,0.0095,1.3935,,,,,58.4773,,,,,4.4347,,,,,1.3702,,,,,53.2763,,,,
2026-06-03,122641019109.18,0.0096,1.3902,,,,,58.3413,,,,,4.4244,,,,,1.3670,,,,,53.1524,,,,
2026-06-02,123498648613.44,0.0095,1.3999,,,,,58.7493,,,,,4.4554,,,,,1.3765,,,,,53.5241,,,,
