date,净利润率,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC),总资产收益率(ROA)
2026-03-31,0.015,0.0456,0.0915,0.0557,0.0364
2025-12-31,0.0137,0.044,0.0821,0.0557,0.0363
2025-09-30,0.0162,0.0349,0.0949,0.06,0.0385
2025-06-30,0.0155,0.0343,0.0898,0.0515,0.033
2025-03-31,0.015,0.0379,0.0893,0.0575,0.0376
2024-12-31,0.0143,0.0354,0.0902,0.0651,0.0411
2024-09-30,0.0136,0.0347,0.0805,0.0563,0.0349
2024-06-30,0.014,0.0349,0.0858,0.0525,0.0336
2024-03-31,0.0136,0.0285,0.084,0.0562,0.0364
2023-12-31,0.0134,0.0268,0.0879,0.0657,0.0416
2023-09-30,0.0125,0.0272,0.0762,0.0528,0.0338
2023-06-30,0.0121,0.0253,0.0721,0.0473,0.03
2023-03-31,0.013,0.0287,0.0726,0.0511,0.0332
2022-12-31,0.0127,0.0299,0.0762,0.0575,0.0371
2022-09-30,0.0131,0.0292,0.0831,0.0574,0.0362
2022-06-30,0.0137,0.0319,0.0856,0.0572,0.0368
2022-03-31,0.0142,0.038,0.0843,0.0589,0.0385
2021-12-31,0.0134,0.0396,0.0818,0.0608,0.0392
2021-09-30,0.0128,0.0432,0.0839,0.0548,0.0352
2021-06-30,0.0122,0.0471,0.0738,0.0505,0.0305
2021-03-31,0.0086,0.0382,0.0505,0.0381,0.0217
2020-12-31,0.0077,0.0355,0.0388,0.0338,0.0177
2020-09-30,0.0063,0.0331,0.032,0.0277,0.0133
2020-06-30,0.0059,0.0315,0.0293,0.0249,0.0117
2020-03-31,0.0065,0.0336,0.0297,0.0292,0.0132
2019-12-31,0.0091,0.0382,0.0392,0.0352,0.0183
2019-09-30,0.0108,0.04,0.0445,0.0378,0.0202
2019-06-30,0.0114,0.0385,0.046,0.0415,0.0212
2019-03-31,0.0113,0.038,0.0464,,0.0238
2018-12-31,0.0114,0.0363,0.0481,0.0424,0.0245
2018-09-30,0.0102,0.0389,0.0424,,0.0213
2018-06-30,0.0102,0.0436,0.0428,,0.0221
2018-03-31,0.0094,0.0426,0.0398,,0.0217
2017-12-31,0.0083,0.0449,0.0346,,0.0185
2017-09-30,0.0067,0.0453,0.0293,,0.0159
2017-06-30,0.0057,0.0387,0.0244,,0.0127
2017-03-31,0.0061,0.0381,0.0258,,0.0138
2016-12-31,0.0047,0.0346,0.0195,,0.0106
2016-09-30,0.0027,0.0237,0.0119,,0.0065
