日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=4.4800,=4.4800,=4.4800,=4.4800,=185115349189.12,=185115349189.0,=78295450773.12,,=5.9970,,,,
2026-07-02,=4.4400,=4.4400,=4.4400,=4.4400,=183462533571.36,=183462533571.0,=77596384248.36,,=5.9435,,,,
2026-07-01,=4.4100,=4.4100,=4.4100,=4.4100,=182222921858.04,=182222921858.0,=77072084354.79,,=5.9033,,,,
2026-06-30,=4.3400,=4.3400,=4.3400,=4.3400,=179330494526.96,=179330494527.0,=75848717936.46,,=5.8096,,,,
2026-06-29,=4.4000,=4.4000,=4.4000,=4.4000,=181809717953.6,=181809717954.0,=76897317723.6,,=5.8899,,,,
2026-06-26,=4.4000,=4.4000,=4.4000,=4.4000,=181809717953.6,=181809717954.0,=76897317723.6,,=5.8899,,,,
2026-06-25,=4.4400,=4.4400,=4.4400,=4.4400,=183462533571.36,=183462533571.0,=77596384248.36,,=5.9435,,,,
2026-06-24,=4.4800,=4.4800,=4.4800,=4.4800,=185115349189.12,=185115349189.0,=78295450773.12,,=5.9970,,,,
2026-06-23,=4.5700,=4.5700,=4.5700,=4.5700,=188834184329.08,=188834184329.0,=79868350453.83,,=6.1175,,,,
2026-06-22,=4.6500,=4.6500,=4.6500,=4.6500,=192139815564.6,=192139815565.0,=81266483503.35,,=6.2246,,,,
2026-06-18,=4.6100,=4.6100,=4.6100,=4.6100,=190486999946.84,=190486999947.0,=80567416978.59,,=6.1710,,,,
2026-06-17,=4.7300,=4.7300,=4.7300,=4.7300,=195445446800.12,=195445446800.0,=82664616552.87,,=6.3317,,,,
2026-06-16,=4.7100,=4.7100,=4.7100,=4.7100,=194619038991.24,=194619038991.0,=82315083290.49,,=6.3049,,,,
2026-06-15,=4.7500,=4.7500,=4.7500,=4.7500,=196271854609.0,=196271854609.0,=83014149815.25,,=6.3584,,,,
2026-06-12,=4.7700,=4.7700,=4.7700,=4.7700,=197098262417.88,=197098262418.0,=83363683077.63,,=6.3852,,,,
2026-06-11,=4.7400,=4.7400,=4.7400,=4.7400,=195858650704.56,=195858650705.0,=82839383184.06,,=6.3450,,,,
2026-06-10,=4.7400,=4.7400,=4.7400,=4.7400,=195858650704.56,=195858650705.0,=82839383184.06,,=6.3450,,,,
2026-06-09,=4.7000,=4.7000,=4.7000,=4.7000,=194205835086.8,=194205835087.0,=82140316659.3,,=6.2915,,,,
2026-06-08,=4.7000,=4.7000,=4.7000,=4.7000,=194205835086.8,=194205835087.0,=82140316659.3,,=6.2915,,,,
2026-06-05,=4.7200,=4.7200,=4.7200,=4.7200,=195032242895.68,=195032242896.0,=82489849921.68,,=6.3183,,,,
