日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2025-07-30,=7.5400,=7.5400,=7.5400,=7.5400,=216389435223.52,=183431597282.0,=73441257276.92,,=0.0279
2025-07-29,=7.4900,=7.4900,=7.4900,=7.4900,=214954492019.12,=182215207380.0,=72954246287.02,,=0.0280
2025-07-28,=7.5300,=7.5300,=7.5300,=7.5300,=216102446582.64,=183188319301.0,=73343855078.94,,=0.0279
2025-07-25,=7.5800,=7.5800,=7.5800,=7.5800,=217537389787.04,=184404709204.0,=73830866068.84,,=0.0277
2025-07-24,=7.7000,=7.7000,=7.7000,=7.7000,=220981253477.6,=187324044970.0,=74999692444.6,,=0.0273
2025-07-23,=7.6800,=7.6800,=7.6800,=7.6800,=220407276195.84,=186837489009.0,=74804888048.64,,=0.0273
2025-07-22,=7.7500,=7.7500,=7.7500,=7.7500,=222416196682.0,=188540434872.0,=75486703434.5,,=0.0271
2025-07-21,=7.6000,=7.6000,=7.6000,=7.6000,=218111367068.8,=184891265165.0,=74025670464.8,,=0.0276
2025-07-18,=7.5400,=7.5400,=7.5400,=7.5400,=216389435223.52,=183431597282.0,=73441257276.92,,=0.0279
2025-07-17,=7.4700,=7.4700,=7.4700,=7.4700,=214380514737.36,=181728651419.0,=72759441891.06,,=0.0281
2025-07-16,=7.4700,=7.4700,=7.4700,=7.4700,=214380514737.36,=181728651419.0,=72759441891.06,,=0.0281
2025-07-15,=7.5000,=7.5000,=7.5000,=7.5000,=215241480660.0,=182458485360.0,=73051648485.0,,=0.0280
2025-07-14,=7.5200,=7.5200,=7.5200,=7.5200,=215815457941.76,=182945041321.0,=73246452880.96,,=0.0279
2025-07-11,=7.2100,=7.2100,=7.2100,=7.2100,=206918810074.48,=175403423926.0,=70226984743.58,,=0.0291
2025-07-10,=7.2200,=7.2200,=7.2200,=7.2200,=207205798715.36,=175646701907.0,=70324386941.56,,=0.0291
2025-07-09,=7.2300,=7.2300,=7.2300,=7.2300,=207492787356.24,=175889979887.0,=70421789139.54,,=0.0290
2025-07-08,=7.1800,=7.1800,=7.1800,=7.1800,=206057844151.84,=174673589985.0,=69934778149.64,,=0.0292
2025-07-07,=7.1100,=7.1100,=7.1100,=7.1100,=204048923665.68,=172970644121.0,=69252962763.78,,=0.0295
2025-07-04,=7.1300,=7.1300,=7.1300,=7.1300,=204622900947.44,=173457200082.0,=69447767159.74,,=0.0295
