日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=5.3600,=5.3600,=5.3600,=5.3600,=153825911511.68,=130396997537.0,=52207578117.28,,=11.3892,,,,
2026-07-02,=5.3300,=5.3300,=5.3300,=5.3300,=152964945589.04,=129667163596.0,=51915371523.34,,=11.3254,,,,
2026-07-01,=5.3100,=5.3100,=5.3100,=5.3100,=152390968307.28,=129180607635.0,=51720567127.38,,=11.2829,,,,
2026-06-30,=5.2000,=5.2000,=5.2000,=5.2000,=149234093257.6,=126504549850.0,=50649142949.6,,=11.0492,,,,
2026-06-29,=5.2800,=5.2800,=5.2800,=5.2800,=151530002384.64,=128450773693.0,=51428360533.44,,=11.2192,,,,
2026-06-26,=5.2200,=5.2200,=5.2200,=5.2200,=149808070539.36,=126991105811.0,=50843947345.56,,=11.0917,,,,
2026-06-25,=5.3100,=5.3100,=5.3100,=5.3100,=152390968307.28,=129180607635.0,=51720567127.38,,=11.2829,,,,
2026-06-24,=5.2600,=5.2600,=5.2600,=5.2600,=150956025102.88,=127964217732.0,=51233556137.48,,=11.1767,,,,
2026-06-23,=5.4300,=5.4300,=5.4300,=5.4300,=155834831997.84,=132099943401.0,=52889393503.14,,=11.5379,,,,
2026-06-22,=5.6700,=5.6700,=5.6700,=5.6700,=162722559378.96,=137938614932.0,=55227046254.66,,=12.0479,,,,
2026-06-18,=5.6000,=5.6000,=5.6000,=5.6000,=160713638892.8,=136235669069.0,=54545230868.8,,=11.8991,,,,
2026-06-17,=5.7300,=5.7300,=5.7300,=5.7300,=164444491224.24,=139398282815.0,=55811459442.54,,=12.1753,,,,
2026-06-16,=5.7200,=5.7200,=5.7200,=5.7200,=164157502583.36,=139155004835.0,=55714057244.56,,=12.1541,,,,
2026-06-15,=5.7600,=5.7600,=5.7600,=5.7600,=165305457146.88,=140128116756.0,=56103666036.48,,=12.2391,,,,
2026-06-12,=5.7600,=5.7600,=5.7600,=5.7600,=165305457146.88,=140128116756.0,=56103666036.48,,=12.2391,,,,
2026-06-11,=5.7100,=5.7100,=5.7100,=5.7100,=163870513942.48,=138911726854.0,=55616655046.58,,=12.1328,,,,
2026-06-10,=5.6500,=5.6500,=5.6500,=5.6500,=162148582097.2,=137452058971.0,=55032241858.7,,=12.0054,,,,
2026-06-09,=5.6100,=5.6100,=5.6100,=5.6100,=161000627533.68,=136478947049.0,=54642633066.78,,=11.9204,,,,
2026-06-08,=5.5700,=5.5700,=5.5700,=5.5700,=159852672970.16,=135505835127.0,=54253024274.86,,=11.8354,,,,
