date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,7184920160,3336656591,0.1556,0.8073
2025-12-31,6155538342,11803101934,0.28,0.7893
2025-09-30,5611852341,9850357551,0.3205,0.7376
2025-06-30,4978595319,6285383282,0.4675,0.7112
2025-03-31,4114823993,2887380791,0.3262,0.6087
2024-12-31,3884257909,9221353632,-0.3126,0.574
2024-09-30,8203816714,7459742715,0.0468,0.9338
2024-06-30,5508364335,4283143187,-0.2042,0.8051
2024-03-31,4502462050,2177225421,-0.2954,0.8775
2023-12-31,5638165641,13414585346,-0.0275,0.9577
2023-09-30,2626321166,7126025678,-0.2683,0.8107
2023-06-30,7330077644,5382208548,0.1361,0.9981
2023-03-31,8444763283,3090140654,0.2401,0.9046
2022-12-31,8165373651,13793491937,0.0206,0.7702
2022-09-30,8481900930,9738709991,-0.0696,0.6684
2022-06-30,8334475911,4737346987,-0.2813,0.6665
2022-03-31,9592847567,2491753207,-0.1344,0.7271
2021-12-31,9420472852,13514651398,0.2081,0.873
2021-09-30,11053034917,10466810833,0.5759,1.0068
2021-06-30,10725192212,6591181182,1.1764,1.0518
2021-03-31,9680470092,2878687239,15.4242,1.3648
2020-12-31,7120136887,11186416960,0.8121,1.2181
2020-09-30,5346977579,6641728027,0.6682,0.9702
2020-06-30,4265970495,3028496391,0.906,0.8121
2020-03-31,3720025956,-199573893,0.5419,0.6613
2019-12-31,3754402942,6173031012,0.0811,0.6219
2019-09-30,3862050084,3981428643,-0.082,0.4102
2019-06-30,4189858880,1588955922,0.0443,0.4675
2019-03-31,3910969123,-435638090,-8.3438,0.4454
2018-12-31,4380507543,5710153688,-0.4059,0.4977
2018-09-30,4012692659,4337156470,-0.4846,0.4234
2018-06-30,6734716484,1521610189,-0.5285,0.617
2018-03-31,7705454753,59320248,-0.9253,0.6674
2017-12-31,7798766464,9610730397,3.7206,0.7481
2017-09-30,6951862555,8415268175,2.0579,0.8484
2017-06-30,2884047318,3227414820,1.0218,0.4248
2017-03-31,2612537604,793607251,1.7774,0.4784
2016-12-31,1289365455,2035925814,-0.7894,0.2517
2016-09-30,4160218595,2751996575,-0.6028,0.7727
2016-06-30,5200316041,1596285608,-0.652,0.8802
