日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=53.3800,=53.3800,=53.3800,=53.3800,=72820735558.98,=37853142837.0,=16227193741.44,,=2.3389,,,,
2026-07-02,=52.9100,=52.9100,=52.9100,=52.9100,=72179563852.11,=37519853644.0,=16084316614.08,,=2.3183,,,,
2026-07-01,=52.8900,=52.8900,=52.8900,=52.8900,=72152279949.69,=37505671125.0,=16078236736.32,,=2.3175,,,,
2026-06-30,=52.2300,=52.2300,=52.2300,=52.2300,=71251911169.83,=37037648003.0,=15877600770.24,,=2.2885,,,,
2026-06-29,=53.0000,=53.0000,=53.0000,=53.0000,=72302341413.0,=37583674979.0,=16111676064.0,,=2.3223,,,,
2026-06-26,=51.5900,=51.5900,=51.5900,=51.5900,=70378826292.39,=36583807399.0,=15683044681.92,,=2.2605,,,,
2026-06-25,=52.4800,=52.4800,=52.4800,=52.4800,=71592959950.08,=37214929489.0,=15953599242.24,,=2.2995,,,,
2026-06-24,=52.1900,=52.1900,=52.1900,=52.1900,=71197343364.99,=37009282965.0,=15865441014.72,,=2.2868,,,,
2026-06-23,=53.2100,=53.2100,=53.2100,=53.2100,=72588822388.41,=37732591427.0,=16175514780.48,,=2.3315,,,,
2026-06-22,=53.9200,=53.9200,=53.9200,=53.9200,=73557400924.32,=38236070847.0,=16391350440.96,,=2.3626,,,,
2026-06-18,=53.9000,=53.9000,=53.9000,=53.9000,=73530117021.9,=38221888328.0,=16385270563.2,,=2.3617,,,,
2026-06-17,=56.1000,=56.1000,=56.1000,=56.1000,=76531346288.1,=39781965402.0,=17054057116.8,,=2.4581,,,,
2026-06-16,=57.8000,=57.8000,=57.8000,=57.8000,=78850477993.8,=40987479505.0,=17570846726.4,,=2.5326,,,,
2026-06-15,=59.5000,=59.5000,=59.5000,=59.5000,=81169609699.5,=42192993609.0,=18087636336.0,,=2.6071,,,,
2026-06-12,=60.5600,=60.5600,=60.5600,=60.5600,=82615656527.76,=42944667108.0,=18409869857.28,,=2.6535,,,,
2026-06-11,=60.6900,=60.6900,=60.6900,=60.6900,=82793001893.49,=43036853481.0,=18449389062.72,,=2.6592,,,,
2026-06-10,=61.0300,=61.0300,=61.0300,=61.0300,=83256828234.63,=43277956301.0,=18552746984.64,,=2.6741,,,,
2026-06-09,=59.5900,=59.5900,=59.5900,=59.5900,=81292387260.39,=42256814943.0,=18114995785.92,,=2.6110,,,,
2026-06-08,=60.1400,=60.1400,=60.1400,=60.1400,=82042694576.94,=42646834212.0,=18282192424.32,,=2.6351,,,,
2026-06-05,=59.7000,=59.7000,=59.7000,=59.7000,=81442448723.7,=42334818797.0,=18148435113.6,,=2.6158,,,,
