date,净利润率,资本回报率(ROIC),净资产收益率(ROE),总资产收益率(ROA),毛利率(GM)
2026-03-31,0.0265,0.0298,0.041,0.0096,0.1108
2025-12-31,0.0285,0.0328,0.0445,0.0107,0.1137
2025-09-30,0.0368,0.0388,0.0576,0.014,0.1197
2025-06-30,0.0382,0.0408,0.06,0.0148,0.1185
2025-03-31,0.0394,0.0434,0.0625,0.0158,0.1223
2024-12-31,0.0393,0.0474,0.0655,0.0171,0.1229
2024-09-30,0.0408,0.0455,0.0665,0.0165,0.1281
2024-06-30,0.0403,0.0465,0.0667,0.0168,0.1304
2024-03-31,0.0406,0.0479,0.0681,0.0179,0.1265
2023-12-31,0.0398,0.0514,0.0683,0.0189,0.1259
2023-09-30,0.0355,0.0433,0.0586,0.0151,0.117
2023-06-30,0.0356,0.0439,0.0603,0.0155,0.1188
2023-03-31,0.035,0.0444,0.0606,0.0163,0.1164
2022-12-31,0.0344,0.0475,0.0605,0.0171,0.1165
2022-09-30,0.0346,0.0445,0.0606,0.0158,0.1219
2022-06-30,0.0348,0.0451,0.0628,0.0164,0.1201
2022-03-31,0.0342,0.0459,0.0631,0.017,0.1245
2021-12-31,0.0343,0.0482,0.0627,0.0174,0.1252
2021-09-30,0.0357,0.0488,0.0756,0.0189,0.123
2021-06-30,0.0349,0.0483,0.0745,0.0189,0.1262
2021-03-31,0.0329,0.046,0.0671,0.0178,0.129
2020-12-31,0.0308,0.0446,0.0592,0.016,0.1302
2020-09-30,0.0326,0.0455,0.0659,0.0164,0.1316
2020-06-30,0.033,0.0457,0.0665,0.0165,0.1267
2020-03-31,0.037,0.0497,0.0729,0.0189,0.127
2019-12-31,0.039,0.0557,0.0807,0.0208,0.1276
2019-09-30,0.0394,0.0527,0.0869,0.0212,0.1251
2019-06-30,0.0406,0.0636,0.0922,0.0222,0.126
2019-03-31,0.0415,,0.0905,0.0227,0.1344
2018-12-31,0.0413,0.0573,0.0911,0.0224,0.1349
2018-09-30,0.0448,,0.1074,0.025,0.1379
2018-06-30,0.0442,,0.109,0.0251,0.14
2018-03-31,0.0437,,0.1068,0.0258,0.1381
2017-12-31,0.0442,,0.1085,0.0258,0.1397
2017-09-30,0.0399,,0.0933,0.0213,0.1508
2017-06-30,0.0407,,0.0969,0.0221,0.153
2017-03-31,0.0418,,0.0992,0.0231,0.1483
2016-12-31,0.0399,,0.0966,0.0225,0.149
2016-09-30,0.0412,,0.101,0.0225,0.1483
2016-06-30,0.0399,,0.103,0.0226,0.1504
