日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=21.5400,=21.5400,=21.5400,=21.5400,=208830300000.0,=208830300000.0,=72569107275.9,,=2.2386,,,,
2026-07-02,=21.5000,=21.5000,=21.5000,=21.5000,=208442500000.0,=208442500000.0,=72434345702.5,,=2.2344,,,,
2026-07-01,=20.9700,=20.9700,=20.9700,=20.9700,=203304150000.0,=203304150000.0,=70648754854.95,,=2.1793,,,,
2026-06-30,=20.3500,=20.3500,=20.3500,=20.3500,=197293250000.0,=197293250000.0,=68559950467.25,,=2.1149,,,,
2026-06-29,=21.0000,=21.0000,=21.0000,=21.0000,=203595000000.0,=203595000000.0,=70749826035.0,,=2.1825,,,,
2026-06-26,=20.7000,=20.7000,=20.7000,=20.7000,=200686500000.0,=200686500000.0,=69739114234.5,,=2.1513,,,,
2026-06-25,=21.6100,=21.6100,=21.6100,=21.6100,=209508950000.0,=209508950000.0,=72804940029.35,,=2.0520,,,,
2026-06-24,=22.0400,=22.0400,=22.0400,=22.0400,=213677800000.0,=213677800000.0,=74253626943.4,,=2.0928,,,,
2026-06-23,=22.5800,=22.5800,=22.5800,=22.5800,=218913100000.0,=218913100000.0,=76072908184.3,,=2.1441,,,,
2026-06-22,=23.3000,=23.3000,=23.3000,=23.3000,=225893500000.0,=225893500000.0,=78498616505.5,,=2.2125,,,,
2026-06-18,=22.9700,=22.9700,=22.9700,=22.9700,=222694150000.0,=222694150000.0,=77386833524.95,,=2.1812,,,,
2026-06-17,=23.5800,=23.5800,=23.5800,=23.5800,=228608100000.0,=228608100000.0,=79441947519.3,,=2.2391,,,,
2026-06-16,=24.4000,=24.4000,=24.4000,=24.4000,=236558000000.0,=236558000000.0,=82204559774.0,,=2.3169,,,,
2026-06-15,=25.2600,=25.2600,=25.2600,=25.2600,=244895700000.0,=244895700000.0,=85101933602.1,,=2.3986,,,,
2026-06-12,=27.0000,=27.0000,=27.0000,=27.0000,=261765000000.0,=261765000000.0,=90964062045.0,,=2.5638,,,,
2026-06-11,=26.9300,=26.9300,=26.9300,=26.9300,=261086350000.0,=261086350000.0,=90728229291.55,,=2.5572,,,,
2026-06-10,=26.6300,=26.6300,=26.6300,=26.6300,=258177850000.0,=258177850000.0,=89717517491.05,,=2.5287,,,,
2026-06-09,=27.0000,=27.0000,=27.0000,=27.0000,=261765000000.0,=261765000000.0,=90964062045.0,,=2.5638,,,,
2026-06-08,=27.8000,=27.8000,=27.8000,=27.8000,=269521000000.0,=269521000000.0,=93659293513.0,,=2.6398,,,,
2026-06-05,=27.1400,=27.1400,=27.1400,=27.1400,=263122300000.0,=263122300000.0,=91435727551.9,,=2.5771,,,,
