日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=13.4200,=13.4200,=13.4200,=13.4200,=107420312996.04,=100035092876.0,=34683141104.48,,=1.5588,,,,
2026-07-02,=13.5500,=13.5500,=13.5500,=13.5500,=108460897250.1,=101004136249.0,=35019117881.2,,=1.5739,,,,
2026-07-01,=13.3900,=13.3900,=13.3900,=13.3900,=107180178168.18,=99811467482.0,=34605608002.16,,=1.5553,,,,
2026-06-30,=13.3100,=13.3100,=13.3100,=13.3100,=106539818627.22,=99215133098.0,=34398853062.64,,=1.5460,,,,
2026-06-29,=13.3500,=13.3500,=13.3500,=13.3500,=106859998397.7,=99513300290.0,=34502230532.4,,=1.5507,,,,
2026-06-26,=13.0600,=13.0600,=13.0600,=13.0600,=104538695061.72,=97351588149.0,=33752743876.64,,=1.5170,,,,
2026-06-25,=12.9900,=12.9900,=12.9900,=12.9900,=103978380463.38,=96829795563.0,=33571833304.56,,=1.5089,,,,
2026-06-24,=13.1700,=13.1700,=13.1700,=13.1700,=105419189430.54,=98171547926.0,=34037031918.48,,=1.5298,,,,
2026-06-23,=13.3300,=13.3300,=13.3300,=13.3300,=106699908512.46,=99364216694.0,=34450541797.52,,=1.5484,,,,
2026-06-22,=13.1800,=13.1800,=13.1800,=13.1800,=105499234373.16,=98246089724.0,=34062876285.92,,=1.5309,,,,
2026-06-18,=13.0700,=13.0700,=13.0700,=13.0700,=104618740004.34,=97426129947.0,=33778588244.08,,=1.5182,,,,
2026-06-17,=13.3200,=13.3200,=13.3200,=13.3200,=106619863569.84,=99289674896.0,=34424697430.08,,=1.5472,,,,
2026-06-16,=13.5700,=13.5700,=13.5700,=13.5700,=108620987135.34,=101153219845.0,=35070806616.08,,=1.5762,,,,
2026-06-15,=13.7900,=13.7900,=13.7900,=13.7900,=110381975872.98,=102793139401.0,=35639382699.76,,=1.6018,,,,
2026-06-12,=14.0300,=14.0300,=14.0300,=14.0300,=112303054495.86,=104582142552.0,=36259647518.32,,=1.6297,,,,
2026-06-11,=13.7700,=13.7700,=13.7700,=13.7700,=110221885987.74,=102644055805.0,=35587693964.88,,=1.5995,,,,
2026-06-10,=13.6300,=13.6300,=13.6300,=13.6300,=109101256791.06,=101600470633.0,=35225872820.72,,=1.5832,,,,
2026-06-09,=13.6300,=13.6300,=13.6300,=13.6300,=109101256791.06,=101600470633.0,=35225872820.72,,=1.5832,,,,
2026-06-08,=13.5300,=13.5300,=13.5300,=13.5300,=108300807364.86,=100855052653.0,=34967429146.32,,=1.5716,,,,
2026-06-05,=13.7400,=13.7400,=13.7400,=13.7400,=109981751159.88,=102420430411.0,=35510160862.56,,=1.5960,,,,
2026-06-04,=14.0300,=14.0300,=14.0300,=14.0300,=112303054495.86,=104582142552.0,=36259647518.32,,=1.6297,,,,
2026-06-03,=14.3000,=14.3000,=14.3000,=14.3000,=114464267946.6,=106594771097.0,=36957445439.2,,=1.6610,,,,
2026-06-02,=14.4600,=14.4600,=14.4600,=14.4600,=115744987028.52,=107787439865.0,=37370955318.24,,=1.6796,,,,
2026-06-01,=14.5100,=14.5100,=14.5100,=14.5100,=116145211741.62,=108160148854.0,=37500177155.44,,=1.6854,,,,
2026-05-29,=14.3000,=14.3000,=14.3000,=14.3000,=114464267946.6,=106594771097.0,=36957445439.2,,=1.6610,,,,
2026-05-28,=13.8100,=13.8100,=13.8100,=13.8100,=110542065758.22,=102942222997.0,=35691071434.64,,=1.6041,,,,
2026-05-27,=13.7800,=13.7800,=13.7800,=13.7800,=110301930930.36,=102718597603.0,=35613538332.32,,=1.6006,,,,
2026-05-26,=13.8700,=13.8700,=13.8700,=13.8700,=111022335413.94,=103389473784.0,=35846137639.28,,=1.6111,,,,
2026-05-25,=13.4900,=13.4900,=13.4900,=13.4900,=107980627594.38,=100556885462.0,=34864051676.56,,=1.5669,,,,
2026-05-22,=13.3500,=13.3500,=13.3500,=13.3500,=106859998397.7,=99513300290.0,=34502230532.4,,=1.5507,,,,
2026-05-21,=13.2800,=13.2800,=13.2800,=13.2800,=106299683799.36,=98991507704.0,=34321319960.32,,=1.5425,,,,
2026-05-20,=13.3400,=13.3400,=13.3400,=13.3400,=106779953455.08,=99438758492.0,=34476386164.96,,=1.5495,,,,
2026-05-19,=13.7300,=13.7300,=13.7300,=13.7300,=109901706217.26,=102345888613.0,=35484316495.12,,=1.5948,,,,
2026-05-18,=13.2300,=13.2300,=13.2300,=13.2300,=105899459086.26,=98618798714.0,=34192098123.12,,=1.5367,,,,
2026-05-15,=13.3600,=13.3600,=13.3600,=13.3600,=106940043340.32,=99587842088.0,=34528074899.84,,=1.5518,,,,
2026-05-14,=13.3800,=13.3800,=13.3800,=13.3800,=107100133225.56,=99736925684.0,=34579763634.72,,=1.5542,,,,
2026-05-13,=13.5700,=13.5700,=13.5700,=13.5700,=108620987135.34,=101153219845.0,=35070806616.08,,=1.5762,,,,
2026-05-12,=13.5700,=13.5700,=13.5700,=13.5700,=108620987135.34,=101153219845.0,=35070806616.08,,=1.5762,,,,
2026-05-11,=13.5600,=13.5600,=13.5600,=13.5600,=108540942192.72,=101078678047.0,=35044962248.64,,=1.5751,,,,
2026-05-08,=13.5600,=13.5600,=13.5600,=13.5600,=108540942192.72,=101078678047.0,=35044962248.64,,=1.5751,,,,
2026-05-07,=13.6100,=13.6100,=13.6100,=13.6100,=108941166905.82,=101451387037.0,=35174184085.84,,=1.5809,,,,
2026-05-06,=13.6600,=13.6600,=13.6600,=13.6600,=109341391618.92,=101824096027.0,=35303405923.04,,=1.5867,,,,
2026-04-30,=13.6300,=13.6300,=13.6300,=13.6300,=109101256791.06,=101600470633.0,=35225872820.72,,=1.5832,,,,
2026-04-29,=13.6100,=13.6100,=13.6100,=13.6100,=108941166905.82,=101451387037.0,=35174184085.84,,=1.6475,,,,
2026-04-28,=13.6000,=13.6000,=13.6000,=13.6000,=108861121963.2,=101376845239.0,=35148339718.4,,=1.6463,,,,
2026-04-27,=13.4000,=13.4000,=13.4000,=13.4000,=107260223110.8,=99886009280.0,=34631452369.6,,=1.6221,,,,
2026-04-24,=13.3700,=13.3700,=13.3700,=13.3700,=107020088282.94,=99662383886.0,=34553919267.28,,=1.6184,,,,
2026-04-23,=13.5100,=13.5100,=13.5100,=13.5100,=108140717479.62,=100705969057.0,=34915740411.44,,=1.6354,,,,
2026-04-22,=13.5100,=13.5100,=13.5100,=13.5100,=108140717479.62,=100705969057.0,=34915740411.44,,=1.6354,,,,
2026-04-21,=13.6700,=13.6700,=13.6700,=13.6700,=109421436561.54,=101898637825.0,=35329250290.48,,=1.6548,,,,
2026-04-20,=13.4100,=13.4100,=13.4100,=13.4100,=107340268053.42,=99960551078.0,=34657296737.04,,=1.6233,,,,
2026-04-17,=13.2000,=13.2000,=13.2000,=13.2000,=105659324258.4,=98395173320.0,=34114565020.8,,=1.5979,,,,
2026-04-16,=13.3300,=13.3300,=13.3300,=13.3300,=106699908512.46,=99364216694.0,=34450541797.52,,=1.6136,,,,
2026-04-15,=13.3800,=13.3800,=13.3800,=13.3800,=107100133225.56,=99736925684.0,=34579763634.72,,=1.6196,,,,
2026-04-14,=13.2200,=13.2200,=13.2200,=13.2200,=105819414143.64,=98544256916.0,=34166253755.68,,=1.6003,,,,
2026-04-13,=13.2900,=13.2900,=13.2900,=13.2900,=106379728741.98,=99066049502.0,=34347164327.76,,=1.6088,,,,
2026-04-10,=13.4100,=13.4100,=13.4100,=13.4100,=107340268053.42,=99960551078.0,=34657296737.04,,=1.6233,,,,
2026-04-09,=13.4600,=13.4600,=13.4600,=13.4600,=107740492766.52,=100333260068.0,=34786518574.24,,=1.6293,,,,
2026-04-08,=13.5400,=13.5400,=13.5400,=13.5400,=108380852307.48,=100929594451.0,=34993273513.76,,=1.6390,,,,
2026-04-07,=13.4500,=13.4500,=13.4500,=13.4500,=107660447823.9,=100258718270.0,=34760674206.8,,=1.6281,,,,
2026-04-03,=13.8500,=13.8500,=13.8500,=13.8500,=110862245528.7,=103240390188.0,=35794448904.4,,=1.6765,,,,
