date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,1316104425816.96,10.5573,,,,,1.5722,,,,,1.6003,,,,,0.0413,10.7534,,,,,3.2301,,,,
2026-07-02,1271426269072.0,10.1989,,,,,1.5188,,,,,1.5460,,,,,0.0428,10.3883,,,,,3.1205,,,,
2026-07-01,1284259356647.68,10.3018,,,,,1.5342,,,,,1.5616,,,,,0.0424,10.4932,,,,,3.1520,,,,
2026-06-30,1290438250665.6,10.3514,,,,,1.5416,,,,,1.5691,,,,,0.0422,10.5437,,,,,3.1671,,,,
2026-06-29,1299468941922.56,10.4239,,,,,1.5523,,,,,1.5801,,,,,0.0419,10.6174,,,,,3.1893,,,,
2026-06-26,1300894840542.08,10.4353,,,,,1.5540,,,,,1.5818,,,,,0.0418,10.6291,,,,,3.1928,,,,
2026-06-25,1318005623976.32,10.5725,,,,,1.5745,,,,,1.6027,,,,,0.0413,10.7689,,,,,3.2348,,,,
2026-06-24,1388349955872.64,11.1368,,,,,1.6585,,,,,1.6882,,,,,0.0392,11.3437,,,,,3.4075,,,,
2026-06-23,1394528849890.56,11.1864,,,,,1.6659,,,,,1.6957,,,,,0.0390,11.3941,,,,,3.4226,,,,
2026-06-22,1451564794671.36,11.6439,,,,,1.7340,,,,,1.7651,,,,,0.0375,11.8602,,,,,3.5626,,,,
2026-06-18,1459169587308.8,11.7049,,,,,1.7431,,,,,1.7743,,,,,0.0375,11.9223,,,,,3.5813,,,,
2026-06-17,1492440555097.6,11.9718,,,,,1.7829,,,,,1.8148,,,,,0.0367,12.1941,,,,,3.6629,,,,
2026-06-16,1486261661079.68,11.9222,,,,,1.7755,,,,,1.8072,,,,,0.0368,12.1437,,,,,3.6478,,,,
