date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,320623931726.75,7.3554,,,,,0.4851,,,,,1.0040,,,,,1.0040,,,,,0.0303,7.5244,,,,
2026-07-02,319297212009.26,7.3250,,,,,0.4831,,,,,0.9998,,,,,0.9998,,,,,0.0305,7.4933,,,,
2026-07-01,320623931726.75,7.3554,,,,,0.4851,,,,,1.0040,,,,,1.0040,,,,,0.0303,7.5244,,,,
2026-06-30,298954176341.08,6.8583,,,,,0.4523,,,,,0.9361,,,,,0.9361,,,,,0.0325,7.0159,,,,
2026-06-29,309567934081.0,7.1018,,,,,0.4683,,,,,0.9694,,,,,0.9694,,,,,0.0314,7.2650,,,,
2026-06-26,305587774928.53,7.0105,,,,,0.4623,,,,,0.9569,,,,,0.9569,,,,,0.0318,7.1716,,,,
2026-06-25,319297212009.26,7.3250,,,,,0.4831,,,,,0.9998,,,,,0.9998,,,,,0.0305,7.4933,,,,
2026-06-24,306472254740.19,7.0308,,,,,0.4637,,,,,0.9597,,,,,0.9597,,,,,0.0317,7.1923,,,,
2026-06-23,310010173986.83,7.1120,,,,,0.4690,,,,,0.9707,,,,,0.9707,,,,,0.0314,7.2754,,,,
2026-06-22,314874812950.96,7.2236,,,,,0.4764,,,,,0.9860,,,,,0.9860,,,,,0.0309,7.3895,,,,
2026-06-18,294089537376.95,6.7467,,,,,0.4449,,,,,0.9209,,,,,0.9209,,,,,0.0331,6.9017,,,,
2026-06-17,309567934081.0,7.1018,,,,,0.4683,,,,,0.9694,,,,,0.9694,,,,,0.0314,7.2650,,,,
2026-06-16,307356734551.8501,7.0511,,,,,0.4650,,,,,0.9624,,,,,0.9624,,,,,0.0317,7.2131,,,,
2026-06-15,316643772574.28,7.2641,,,,,0.4790,,,,,0.9915,,,,,0.9915,,,,,0.0307,7.4310,,,,
2026-06-12,310452413892.66,7.1221,,,,,0.4697,,,,,0.9721,,,,,0.9721,,,,,0.0313,7.2857,,,,
2026-06-11,297627456623.59,6.8279,,,,,0.4503,,,,,0.9320,,,,,0.9320,,,,,0.0327,6.9848,,,,
2026-06-10,299838656152.74,6.8786,,,,,0.4536,,,,,0.9389,,,,,0.9389,,,,,0.0324,7.0366,,,,
2026-06-09,292320577753.63,6.7061,,,,,0.4422,,,,,0.9153,,,,,0.9153,,,,,0.0333,6.8602,,,,
2026-06-08,288782658506.99,6.6250,,,,,0.4369,,,,,0.9043,,,,,0.9043,,,,,0.0337,6.7772,,,,
2026-06-05,290551618130.31,6.6656,,,,,0.4396,,,,,0.9098,,,,,0.9098,,,,,0.0335,6.8187,,,,
2026-06-04,290551618130.31,6.6656,,,,,0.4396,,,,,0.9098,,,,,0.9098,,,,,0.0335,6.8187,,,,
2026-06-03,294531777282.78,6.7569,,,,,0.4456,,,,,0.9223,,,,,0.9223,,,,,0.0330,6.9121,,,,
2026-06-02,298954176341.08,6.8583,,,,,0.4523,,,,,0.9361,,,,,0.9361,,,,,0.0325,7.0159,,,,
