date,总资产收益率(ROA),净利润率,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM)
2026-03-31,0.0758,0.1049,0.1326,0.1423,0.2859
2025-12-31,0.0805,0.1147,0.1449,0.1578,0.2895
2025-09-30,0.0869,0.1212,0.1497,0.1666,0.2776
2025-06-30,0.0936,0.1258,0.1624,0.1835,0.2826
2025-03-31,0.0897,0.1231,0.154,0.1742,0.2825
2024-12-31,0.0819,0.1173,0.1452,0.1627,0.287
2024-09-30,0.101,0.1357,0.1703,0.1945,0.3049
2024-06-30,0.1059,0.1415,0.1759,0.2035,0.3171
2024-03-31,0.1068,0.1508,0.1779,0.2056,0.3333
2023-12-31,0.1083,0.157,0.1821,0.2117,0.3355
2023-09-30,0.1168,0.1697,0.1841,0.2162,0.3501
2023-06-30,0.1205,0.1764,0.1908,0.2256,0.3507
2023-03-31,0.1267,0.1893,0.2016,0.2277,0.3541
2022-12-31,0.13,0.188,0.2066,0.2373,0.3501
2022-09-30,0.1405,0.201,0.2123,0.247,0.3486
2022-06-30,0.1436,0.201,0.2118,0.2517,0.3507
2022-03-31,0.1527,0.1925,0.2287,0.2586,0.3489
2021-12-31,0.1602,0.2051,0.241,0.2692,0.3582
2021-09-30,0.1533,0.1918,0.2252,0.2582,0.376
2021-06-30,0.1503,0.2008,0.2196,0.2524,0.3834
2021-03-31,0.1535,0.2005,0.2229,0.2557,0.3911
2020-12-31,0.1301,0.1895,0.1912,0.2187,0.3896
2020-09-30,0.1222,0.1761,0.1767,0.2099,0.3866
2020-06-30,0.1008,0.147,0.1541,0.1705,0.3777
2020-03-31,0.0836,0.1346,0.1229,0.1316,0.3729
2019-12-31,0.0801,0.1367,0.1196,0.1306,0.3765
2019-09-30,0.096,0.1596,0.1433,0.1602,0.3851
2019-06-30,0.112,0.1841,,0.1786,0.4028
2019-03-31,0.1176,0.1911,,0.1789,0.4113
2018-12-31,0.1248,0.2058,0.1861,0.1972,0.4181
2018-09-30,0.1267,0.2107,,0.2038,0.4363
2018-06-30,0.1286,0.2187,,0.2135,0.447
2018-03-31,0.1291,0.2246,,0.1984,0.4497
2017-12-31,0.1282,0.2284,,0.2038,0.4512
2017-09-30,0.1335,0.2324,,0.2001,0.457
2017-06-30,0.1414,0.2473,,0.2184,0.4667
2017-03-31,0.1439,0.2621,,0.2096,0.4774
2016-12-31,0.1408,0.2678,,0.2114,0.4812
2016-09-30,0.1618,0.2831,,0.2166,0.4779
2016-06-30,0.1683,0.2864,,0.2219,0.484
