日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=4.2800,=4.2800,=4.2800,=4.2800,=104994008208.12,=86986379008.0,=38606053846.92,,=0.3266,,,,
2026-07-02,=4.2600,=4.2600,=4.2600,=4.2600,=104503382001.54,=86579900602.0,=38425651726.14,,=0.3251,,,,
2026-07-01,=4.2500,=4.2500,=4.2500,=4.2500,=104258068898.25,=86376661398.0,=38335450665.75,,=0.3243,,,,
2026-06-30,=4.1700,=4.1700,=4.1700,=4.1700,=102295564071.93,=84750747772.0,=37613842182.63,,=0.3182,,,,
2026-06-29,=4.2500,=4.2500,=4.2500,=4.2500,=104258068898.25,=86376661398.0,=38335450665.75,,=0.3243,,,,
2026-06-26,=4.2200,=4.2200,=4.2200,=4.2200,=103522129588.38,=85766943788.0,=38064847484.58,,=0.3220,,,,
2026-06-25,=4.3500,=4.3500,=4.3500,=4.3500,=106711199931.15,=88409053431.0,=39237461269.65,,=0.3319,,,,
2026-06-24,=4.4300,=4.4300,=4.4300,=4.4300,=108673704757.47,=90034967057.0,=39959069752.77,,=0.3380,,,,
2026-06-23,=4.5100,=4.5100,=4.5100,=4.5100,=110636209583.79,=91660880684.0,=40680678235.89,,=0.3441,,,,
2026-06-22,=4.6500,=4.6500,=4.6500,=4.6500,=114070593029.85,=94506229530.0,=41943493081.35,,=0.3548,,,,
2026-06-18,=4.5100,=4.5100,=4.5100,=4.5100,=111334860899.79,=92359532000.0,=40680678235.89,,=0.3463,,,,
2026-06-17,=4.6800,=4.6800,=4.6800,=4.6800,=115531518627.72,=95840933428.0,=42214096262.52,,=0.3594,,,,
2026-06-16,=4.5700,=4.5700,=4.5700,=4.5700,=112816034215.53,=93588261916.0,=41221884598.23,,=0.3509,,,,
2026-06-15,=4.6600,=4.6600,=4.6600,=4.6600,=115037794189.14,=95431356789.0,=42033694141.74,,=0.3578,,,,
2026-06-12,=4.5700,=4.5700,=4.5700,=4.5700,=112816034215.53,=93588261916.0,=41221884598.23,,=0.3509,,,,
2026-06-11,=4.4600,=4.4600,=4.4600,=4.4600,=110100549803.34,=91335590403.0,=40229672933.94,,=0.3425,,,,
2026-06-10,=4.4900,=4.4900,=4.4900,=4.4900,=110841136461.21,=91949955361.0,=40500276115.11,,=0.3448,,,,
2026-06-09,=4.5200,=4.5200,=4.5200,=4.5200,=111581723119.08,=92564320319.0,=40770879296.28,,=0.3471,,,,
2026-06-08,=4.5400,=4.5400,=4.5400,=4.5400,=112075447557.66,=92973896958.0,=40951281417.06,,=0.3486,,,,
2026-06-05,=4.6900,=4.6900,=4.6900,=4.6900,=115778380847.01,=96045721747.0,=42304297322.91,,=0.3601,,,,
